CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-10-24,2021-10-23,Departure,00:25,Frankfurt,LH869,Lufthansa,00:49,Actual
2021-10-24,2021-10-23,Departure,07:20,Munchen,FI532,Icelandair,07:16,Actual
2021-10-24,2021-10-23,Departure,07:25,Frankfurt,FI520,Icelandair,07:28,Actual
2021-10-24,2021-10-23,Departure,07:30,Dublin,FI416,Icelandair,07:33,Actual
2021-10-24,2021-10-23,Departure,07:40,París CDG,FI542,Icelandair,07:57,Actual
2021-10-24,2021-10-23,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:43,Actual
2021-10-24,2021-10-23,Departure,07:40,London Heathrow,FI450,Icelandair,07:51,Actual
2021-10-24,2021-10-23,Departure,07:40,Amsterdam,FI500,Icelandair,07:53,Actual
2021-10-24,2021-10-23,Departure,07:45,London Gatwick,FI470,Icelandair,07:58,Actual
2021-10-24,2021-10-23,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:48,Actual
2021-10-24,2021-10-23,Departure,07:50,Amsterdam,FI506,Icelandair,07:53,Actual
2021-10-24,2021-10-23,Departure,08:00,Manchester,FI440,Icelandair,08:15,Actual
2021-10-24,2021-10-23,Departure,08:40,Tenerife South,FI580,Icelandair,08:40,Actual
2021-10-24,2021-10-23,Departure,08:50,Tenerife South,FI582,Icelandair,08:53,Actual
2021-10-24,2021-10-23,Departure,09:20,Dortmund,W64714,Wizz Air,09:29,Actual
2021-10-24,2021-10-23,Departure,09:30,Las Palmas,FI1512,Icelandair,09:29,Actual
2021-10-24,2021-10-23,Departure,09:55,Kaupmannahöfn,SK596,SAS,10:25,Actual
2021-10-24,2021-10-23,Departure,10:10,London Heathrow,BA801,British Airways,10:07,Actual
2021-10-24,2021-10-23,Departure,10:10,Tenerife South,OG620,Play,10:14,Actual
2021-10-24,2021-10-23,Departure,11:00,Aberdeen,PVT1100,Private-Special Flights,11:13,Actual
2021-10-24,2021-10-23,Departure,11:15,New York JFK,DL247,Delta,11:26,Actual
2021-10-24,2021-10-23,Departure,11:20,New York Newark,UA967,United Airlines,11:11,Actual
2021-10-24,2021-10-23,Departure,13:35,Frankfurt,LH857,Lufthansa,13:29,Actual
2021-10-24,2021-10-23,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,14:01,Actual
2021-10-24,2021-10-23,Departure,15:15,Alicante,OG604,Play,14:59,Actual
2021-10-24,2021-10-23,Departure,16:10,London Heathrow,FI454,Icelandair,16:10,Actual
2021-10-24,2021-10-23,Departure,16:25,Búdapest,W62428,Wizz Air,16:37,Actual
2021-10-24,2021-10-23,Departure,16:45,Chicago,FI853,Icelandair,16:43,Actual
2021-10-24,2021-10-23,Departure,16:50,Washington Dulles,FI645,Icelandair,17:01,Actual
2021-10-24,2021-10-23,Departure,16:55,Denver,FI671,Icelandair,17:10,Actual
2021-10-24,2021-10-23,Departure,16:55,London Luton,EZY2296,EasyJet,16:55,Actual
2021-10-24,2021-10-23,Departure,16:55,Nuuk,GL711,Air Greenland,16:43,Actual
2021-10-24,2021-10-23,Departure,17:00,New York Newark,FI623,Icelandair,Aflýst,Actual
2021-10-24,2021-10-23,Departure,17:00,New York JFK,FI615,Icelandair,17:11,Actual
2021-10-24,2021-10-23,Departure,17:05,Toronto,FI603,Icelandair,17:06,Actual
2021-10-24,2021-10-23,Departure,17:05,Seattle,FI681,Icelandair,17:08,Actual
2021-10-24,2021-10-23,Departure,17:10,París Orly,TO4041,Transavia,17:17,Actual
2021-10-24,2021-10-23,Departure,17:15,Boston,FI631,Icelandair,17:02,Actual
2021-10-24,2021-10-23,Departure,17:50,Vín,W62858,Wizz Air,18:11,Actual
2021-10-24,2021-10-23,Departure,18:50,Wroclaw,W61898,Wizz Air,18:49,Actual
2021-10-24,2021-10-23,Departure,19:20,Mílanó,W65566,Wizz Air,19:28,Actual
2021-10-24,2021-10-23,Departure,19:35,Barcelona,VY8561,Vueling,19:24,Actual
2021-10-24,2021-10-23,Departure,21:05,Gdansk,W61774,Wizz Air,22:02,Actual
2021-10-24,2021-10-22,Departure,00:05,Varsjá,W61540,Wizz Air,00:13,Actual
2021-10-24,2021-10-22,Departure,01:05,Munchen,LH2469,Lufthansa,01:12,Actual
2021-10-24,2021-10-22,Departure,06:00,Berlin Brandenburg,OG700,Play,06:00,Actual
2021-10-24,2021-10-22,Departure,06:00,París CDG,OG400,Play,05:53,Actual
2021-10-24,2021-10-22,Departure,06:30,London Stansted,OG800,Play,06:23,Actual
2021-10-24,2021-10-22,Departure,07:25,Frankfurt,FI520,Icelandair,07:33,Actual
2021-10-24,2021-10-22,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:38,Actual
2021-10-24,2021-10-22,Departure,07:40,Amsterdam,FI500,Icelandair,07:52,Actual
2021-10-24,2021-10-22,Departure,07:40,London Heathrow,FI450,Icelandair,07:38,Actual
2021-10-24,2021-10-22,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:40,Actual
2021-10-24,2021-10-22,Departure,07:40,París CDG,FI542,Icelandair,07:55,Actual
2021-10-24,2021-10-22,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,09:17,Actual
2021-10-24,2021-10-22,Departure,07:45,London Gatwick,FI470,Icelandair,07:41,Actual
2021-10-24,2021-10-22,Departure,07:50,Osló,FI318,Icelandair,07:58,Actual
2021-10-24,2021-10-22,Departure,08:00,Manchester,FI440,Icelandair,07:52,Actual
2021-10-24,2021-10-22,Departure,08:20,Bratislava,NO5928,Neos,Aflýst,Actual
2021-10-24,2021-10-22,Departure,08:50,Amsterdam,HV6888,Transavia,09:30,Actual
2021-10-24,2021-10-22,Departure,09:15,London Luton,EZY2296,EasyJet,09:45,Actual
2021-10-24,2021-10-22,Departure,09:30,London Gatwick,EZY8508,EasyJet,09:42,Actual
2021-10-24,2021-10-22,Departure,10:30,Kaupmannahöfn,SK596,SAS,10:51,Actual
2021-10-24,2021-10-22,Departure,11:15,New York JFK,DL247,Delta,11:38,Actual
2021-10-24,2021-10-22,Departure,11:20,New York Newark,UA967,United Airlines,11:10,Actual
2021-10-24,2021-10-22,Departure,11:40,Vagar,RC402,Atlantic Airways,11:55,Actual
2021-10-24,2021-10-22,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,16:29,Actual
2021-10-24,2021-10-22,Departure,15:10,Riga,BT170,Air Baltic,15:35,Actual
2021-10-24,2021-10-22,Departure,15:15,Barcelona,OG614,Play,15:15,Actual
2021-10-24,2021-10-22,Departure,15:15,Kaupmannahöfn,OG904,Play,15:07,Actual
2021-10-24,2021-10-22,Departure,16:10,London Heathrow,FI454,Icelandair,16:04,Actual
2021-10-24,2021-10-22,Departure,16:45,Chicago,FI853,Icelandair,16:49,Actual
2021-10-24,2021-10-22,Departure,16:50,Washington Dulles,FI645,Icelandair,16:53,Actual
2021-10-24,2021-10-22,Departure,16:55,Denver,FI671,Icelandair,17:37,Actual
2021-10-24,2021-10-22,Departure,17:00,New York JFK,FI615,Icelandair,17:00,Actual
2021-10-24,2021-10-22,Departure,17:05,Toronto,FI603,Icelandair,17:04,Actual
2021-10-24,2021-10-22,Departure,17:05,Seattle,FI681,Icelandair,17:14,Actual
2021-10-24,2021-10-22,Departure,17:15,Boston,FI631,Icelandair,17:07,Actual
2021-10-24,2021-10-22,Departure,17:15,Orlando,FI689,Icelandair,17:08,Actual
2021-10-24,2021-10-22,Departure,18:20,Kaupmannahöfn,SK2596,SAS,18:23,Actual
2021-10-24,2021-10-22,Departure,19:20,Rome Fiumicino,W68266,Wizz Air,21:02,Actual
2021-10-24,2021-10-22,Departure,20:45,Katowice,W61168,Wizz Air,21:16,Actual
2021-10-24,2021-10-21,Departure,00:25,Frankfurt,LH869,Lufthansa,00:26,Actual
2021-10-24,2021-10-21,Departure,06:00,Berlin Brandenburg,OG700,Play,05:59,Actual
2021-10-24,2021-10-21,Departure,06:00,París CDG,OG400,Play,05:52,Actual
2021-10-24,2021-10-21,Departure,06:30,London Stansted,OG800,Play,06:28,Actual
2021-10-24,2021-10-21,Departure,07:20,Zurich,FI568,Icelandair,07:22,Actual
2021-10-24,2021-10-21,Departure,07:20,Munchen,FI532,Icelandair,07:22,Actual
2021-10-24,2021-10-21,Departure,07:25,Frankfurt,FI520,Icelandair,07:32,Actual
2021-10-24,2021-10-21,Departure,07:30,Dublin,FI416,Icelandair,07:31,Actual
2021-10-24,2021-10-21,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:50,Actual
2021-10-24,2021-10-21,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:54,Actual
2021-10-24,2021-10-21,Departure,07:40,Amsterdam,FI500,Icelandair,08:58,Actual
2021-10-24,2021-10-21,Departure,07:40,London Heathrow,FI450,Icelandair,07:54,Actual
2021-10-24,2021-10-21,Departure,07:40,París CDG,FI542,Icelandair,07:50,Actual
