CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-09-25,2021-09-24,Departure,00:05,Varsjá,W61540,Wizz Air,00:48,Actual
2021-09-25,2021-09-24,Departure,01:05,Munchen,LH2469,Lufthansa,01:22,Actual
2021-09-25,2021-09-24,Departure,06:00,Berlin Brandenburg,OG700,Play,05:48,Actual
2021-09-25,2021-09-24,Departure,06:00,París CDG,OG400,Play,05:44,Actual
2021-09-25,2021-09-24,Departure,06:30,London Stansted,OG800,Play,06:30,Actual
2021-09-25,2021-09-24,Departure,07:20,Munchen,FI532,Icelandair,07:22,Actual
2021-09-25,2021-09-24,Departure,07:20,Zurich,FI568,Icelandair,07:16,Actual
2021-09-25,2021-09-24,Departure,07:25,Frankfurt,FI520,Icelandair,07:17,Actual
2021-09-25,2021-09-24,Departure,07:30,Helsinki,FI342,Icelandair,07:18,Actual
2021-09-25,2021-09-24,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:41,Actual
2021-09-25,2021-09-24,Departure,07:35,Glasgow,FI430,Icelandair,07:28,Actual
2021-09-25,2021-09-24,Departure,07:40,London Heathrow,FI450,Icelandair,08:48,Actual
2021-09-25,2021-09-24,Departure,07:40,Amsterdam,FI500,Icelandair,07:43,Actual
2021-09-25,2021-09-24,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:58,Actual
2021-09-25,2021-09-24,Departure,07:40,París CDG,FI542,Icelandair,07:54,Actual
2021-09-25,2021-09-24,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:48,Actual
2021-09-25,2021-09-24,Departure,07:50,Osló,FI318,Icelandair,07:37,Actual
2021-09-25,2021-09-24,Departure,08:00,Manchester,FI440,Icelandair,07:49,Actual
2021-09-25,2021-09-24,Departure,08:50,Amsterdam,HV6888,Transavia,09:02,Actual
2021-09-25,2021-09-24,Departure,09:30,London Luton,EZY2296,EasyJet,09:30,Actual
2021-09-25,2021-09-24,Departure,09:30,Minneapolis St Paul,DL261,Delta,09:16,Actual
2021-09-25,2021-09-24,Departure,10:30,Kaupmannahöfn,SK596,SAS,11:08,Actual
2021-09-25,2021-09-24,Departure,10:30,Chicago,UA913,United Airlines,10:17,Actual
2021-09-25,2021-09-24,Departure,11:15,New York JFK,DL247,Delta,11:02,Actual
2021-09-25,2021-09-24,Departure,11:20,New York Newark,UA967,United Airlines,11:06,Actual
2021-09-25,2021-09-24,Departure,11:30,Osló,SK4788,SAS,Aflýst,Actual
2021-09-25,2021-09-24,Departure,11:40,Vagar,RC402,Atlantic Airways,11:32,Actual
2021-09-25,2021-09-24,Departure,15:10,Riga,BT170,Air Baltic,15:37,Actual
2021-09-25,2021-09-24,Departure,15:15,Barcelona,OG614,Play,15:11,Actual
2021-09-25,2021-09-24,Departure,15:15,Kaupmannahöfn,OG904,Play,15:13,Actual
2021-09-25,2021-09-24,Departure,16:00,París CDG,FI540,Icelandair,16:03,Actual
2021-09-25,2021-09-24,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,17:10,Actual
2021-09-25,2021-09-24,Departure,16:10,London Heathrow,FI454,Icelandair,16:09,Actual
2021-09-25,2021-09-24,Departure,16:40,Billund,FI274,Icelandair,16:53,Actual
2021-09-25,2021-09-24,Departure,16:45,Chicago,FI853,Icelandair,16:41,Actual
2021-09-25,2021-09-24,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Aflýst,Actual
2021-09-25,2021-09-24,Departure,16:50,Washington Dulles,FI645,Icelandair,16:45,Actual
2021-09-25,2021-09-24,Departure,16:55,Denver,FI671,Icelandair,16:52,Actual
2021-09-25,2021-09-24,Departure,17:00,New York JFK,FI615,Icelandair,17:00,Actual
2021-09-25,2021-09-24,Departure,17:05,Toronto,FI603,Icelandair,17:40,Actual
2021-09-25,2021-09-24,Departure,17:05,Seattle,FI681,Icelandair,17:07,Actual
2021-09-25,2021-09-24,Departure,17:15,Boston,FI631,Icelandair,17:18,Actual
2021-09-25,2021-09-24,Departure,17:15,Orlando,FI689,Icelandair,17:04,Actual
2021-09-25,2021-09-24,Departure,19:20,Rome Fiumicino,W68266,Wizz Air,20:08,Actual
2021-09-25,2021-09-24,Departure,20:45,Katowice,W61168,Wizz Air,21:10,Actual
2021-09-25,2021-09-23,Departure,00:25,Frankfurt,LH869,Lufthansa,00:23,Actual
2021-09-25,2021-09-23,Departure,01:30,Prag,OK461,Czech Airlines,02:03,Actual
2021-09-25,2021-09-23,Departure,06:00,Berlin Brandenburg,OG700,Play,05:46,Actual
2021-09-25,2021-09-23,Departure,06:00,París CDG,OG400,Play,05:48,Actual
2021-09-25,2021-09-23,Departure,06:30,London Stansted,OG800,Play,06:22,Actual
2021-09-25,2021-09-23,Departure,07:20,Munchen,FI532,Icelandair,07:17,Actual
2021-09-25,2021-09-23,Departure,07:20,Zurich,FI568,Icelandair,07:16,Actual
2021-09-25,2021-09-23,Departure,07:25,Frankfurt,FI520,Icelandair,07:35,Actual
2021-09-25,2021-09-23,Departure,07:30,Dublin,FI416,Icelandair,07:42,Actual
2021-09-25,2021-09-23,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:37,Actual
2021-09-25,2021-09-23,Departure,07:35,Glasgow,FI430,Icelandair,07:33,Actual
2021-09-25,2021-09-23,Departure,07:40,Brussel,FI554,Icelandair,07:54,Actual
2021-09-25,2021-09-23,Departure,07:40,París CDG,FI542,Icelandair,07:36,Actual
2021-09-25,2021-09-23,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,08:05,Actual
2021-09-25,2021-09-23,Departure,07:40,Amsterdam,FI500,Icelandair,08:09,Actual
2021-09-25,2021-09-23,Departure,07:40,London Heathrow,FI450,Icelandair,07:51,Actual
2021-09-25,2021-09-23,Departure,07:45,París CDG,FI544,Icelandair,07:57,Actual
2021-09-25,2021-09-23,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,08:00,Actual
2021-09-25,2021-09-23,Departure,07:50,Osló,FI318,Icelandair,08:01,Actual
2021-09-25,2021-09-23,Departure,08:00,Manchester,FI440,Icelandair,08:02,Actual
2021-09-25,2021-09-23,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,08:23,Actual
2021-09-25,2021-09-23,Departure,08:35,Osló,DY1171,Norwegian,08:39,Actual
2021-09-25,2021-09-23,Departure,08:40,Tenerife South,FI580,Icelandair,08:41,Actual
2021-09-25,2021-09-23,Departure,08:45,London Luton,EZY2296,EasyJet,09:29,Actual
2021-09-25,2021-09-23,Departure,08:50,Alicante,FI1582,Icelandair,08:52,Actual
2021-09-25,2021-09-23,Departure,09:00,Manchester,EZY1806,EasyJet,09:12,Actual
2021-09-25,2021-09-23,Departure,09:30,Minneapolis St Paul,DL261,Delta,09:21,Actual
2021-09-25,2021-09-23,Departure,10:30,Chicago,UA913,United Airlines,10:31,Actual
2021-09-25,2021-09-23,Departure,10:40,London Heathrow,BA801,British Airways,10:58,Actual
2021-09-25,2021-09-23,Departure,11:15,Manchester,LS4088,JET2.Com,11:22,Actual
2021-09-25,2021-09-23,Departure,11:15,New York JFK,DL247,Delta,11:08,Actual
2021-09-25,2021-09-23,Departure,11:20,New York Newark,UA967,United Airlines,11:15,Actual
