CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-09-29,2021-09-28,Departure,00:25,Frankfurt,LH869,Lufthansa,01:31,Actual
2021-09-29,2021-09-28,Departure,01:30,Prag,OK461,Czech Airlines,01:29,Actual
2021-09-29,2021-09-28,Departure,07:20,Munchen,FI532,Icelandair,07:11,Actual
2021-09-29,2021-09-28,Departure,07:25,Frankfurt,FI520,Icelandair,07:24,Actual
2021-09-29,2021-09-28,Departure,07:30,Dublin,FI416,Icelandair,07:24,Actual
2021-09-29,2021-09-28,Departure,07:35,Glasgow,FI430,Icelandair,07:45,Actual
2021-09-29,2021-09-28,Departure,07:40,London Heathrow,FI450,Icelandair,07:46,Actual
2021-09-29,2021-09-28,Departure,07:40,Amsterdam,FI500,Icelandair,07:47,Actual
2021-09-29,2021-09-28,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:49,Actual
2021-09-29,2021-09-28,Departure,07:40,París CDG,FI542,Icelandair,07:54,Actual
2021-09-29,2021-09-28,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:45,Actual
2021-09-29,2021-09-28,Departure,07:50,Osló,FI318,Icelandair,07:54,Actual
2021-09-29,2021-09-28,Departure,09:30,Minneapolis St Paul,DL261,Delta,09:30,Actual
2021-09-29,2021-09-28,Departure,10:00,Alicante,OG600,Play,10:08,Actual
2021-09-29,2021-09-28,Departure,10:10,Tenerife South,OG620,Play,10:14,Actual
2021-09-29,2021-09-28,Departure,10:30,Chicago,UA913,United Airlines,10:15,Actual
2021-09-29,2021-09-28,Departure,10:45,London Heathrow,BA801,British Airways,11:23,Actual
2021-09-29,2021-09-28,Departure,11:15,New York JFK,DL247,Delta,11:14,Actual
2021-09-29,2021-09-28,Departure,11:20,New York Newark,UA967,United Airlines,11:04,Actual
2021-09-29,2021-09-28,Departure,13:35,Frankfurt,LH857,Lufthansa,13:42,Actual
2021-09-29,2021-09-28,Departure,16:25,Búdapest,W62428,Wizz Air,16:25,Actual
2021-09-29,2021-09-28,Departure,16:50,Portland,FI665,Icelandair,16:50,Actual
2021-09-29,2021-09-28,Departure,16:50,Washington Dulles,FI645,Icelandair,16:54,Actual
2021-09-29,2021-09-28,Departure,16:55,Denver,FI671,Icelandair,16:58,Actual
2021-09-29,2021-09-28,Departure,17:00,New York JFK,FI615,Icelandair,17:11,Actual
2021-09-29,2021-09-28,Departure,17:00,New York Newark,FI623,Icelandair,Aflýst,Actual
2021-09-29,2021-09-28,Departure,17:05,Seattle,FI681,Icelandair,17:04,Actual
2021-09-29,2021-09-28,Departure,17:15,Boston,FI631,Icelandair,17:56,Actual
2021-09-29,2021-09-28,Departure,17:15,Orlando,FI689,Icelandair,17:09,Actual
2021-09-29,2021-09-28,Departure,17:50,Vín,W62858,Wizz Air,17:54,Actual
2021-09-29,2021-09-28,Departure,18:50,Wroclaw,W61898,Wizz Air,18:45,Actual
2021-09-29,2021-09-28,Departure,19:20,Mílanó,W65566,Wizz Air,19:39,Actual
2021-09-29,2021-09-28,Departure,20:50,Gdansk,W61774,Wizz Air,20:50,Actual
2021-09-29,2021-09-27,Departure,00:05,Varsjá,W61540,Wizz Air,00:16,Actual
2021-09-29,2021-09-27,Departure,00:25,Frankfurt,LH869,Lufthansa,00:25,Actual
2021-09-29,2021-09-27,Departure,06:00,Berlin Brandenburg,OG700,Play,06:08,Actual
2021-09-29,2021-09-27,Departure,06:00,París CDG,OG400,Play,05:46,Actual
2021-09-29,2021-09-27,Departure,06:30,London Stansted,OG800,Play,06:24,Actual
2021-09-29,2021-09-27,Departure,07:20,Munchen,FI532,Icelandair,07:24,Actual
2021-09-29,2021-09-27,Departure,07:20,Zurich,FI568,Icelandair,07:21,Actual
2021-09-29,2021-09-27,Departure,07:25,Frankfurt,FI520,Icelandair,07:21,Actual
2021-09-29,2021-09-27,Departure,07:30,Helsinki,FI342,Icelandair,07:25,Actual
2021-09-29,2021-09-27,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:28,Actual
2021-09-29,2021-09-27,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:36,Actual
2021-09-29,2021-09-27,Departure,07:40,Brussel,FI554,Icelandair,07:43,Actual
2021-09-29,2021-09-27,Departure,07:40,Amsterdam,FI500,Icelandair,07:32,Actual
2021-09-29,2021-09-27,Departure,07:40,París CDG,FI542,Icelandair,07:34,Actual
2021-09-29,2021-09-27,Departure,07:40,London Heathrow,FI450,Icelandair,07:34,Actual
2021-09-29,2021-09-27,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:39,Actual
2021-09-29,2021-09-27,Departure,07:50,Osló,FI318,Icelandair,07:48,Actual
2021-09-29,2021-09-27,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,07:48,Actual
2021-09-29,2021-09-27,Departure,08:00,Manchester,FI440,Icelandair,07:52,Actual
2021-09-29,2021-09-27,Departure,08:20,Alicante,NO1902,Neos,08:30,Actual
2021-09-29,2021-09-27,Departure,08:50,Alicante,FI1582,Icelandair,08:48,Actual
2021-09-29,2021-09-27,Departure,09:10,London Luton,EZY2296,EasyJet,09:09,Actual
2021-09-29,2021-09-27,Departure,09:30,Minneapolis St Paul,DL261,Delta,09:30,Actual
2021-09-29,2021-09-27,Departure,10:30,Kaupmannahöfn,SK596,SAS,10:21,Actual
2021-09-29,2021-09-27,Departure,10:30,Chicago,UA913,United Airlines,10:25,Actual
2021-09-29,2021-09-27,Departure,11:00,Osló,SK4788,SAS,11:43,Actual
2021-09-29,2021-09-27,Departure,11:15,New York JFK,DL247,Delta,11:04,Actual
2021-09-29,2021-09-27,Departure,11:15,Manchester,LS4088,JET2.Com,11:18,Actual
2021-09-29,2021-09-27,Departure,11:20,New York Newark,UA967,United Airlines,10:58,Actual
2021-09-29,2021-09-27,Departure,11:40,Vagar,RC402,Atlantic Airways,11:31,Actual
2021-09-29,2021-09-27,Departure,15:10,Riga,BT170,Air Baltic,15:12,Actual
2021-09-29,2021-09-27,Departure,15:15,Kaupmannahöfn,OG904,Play,15:05,Actual
2021-09-29,2021-09-27,Departure,15:15,Barcelona,OG614,Play,15:06,Actual
2021-09-29,2021-09-27,Departure,16:10,London Heathrow,FI454,Icelandair,16:13,Actual
2021-09-29,2021-09-27,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,16:10,Actual
2021-09-29,2021-09-27,Departure,16:40,Billund,FI274,Icelandair,16:26,Actual
2021-09-29,2021-09-27,Departure,16:45,Chicago,FI853,Icelandair,16:36,Actual
