CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-10-09,2021-10-08,Departure,00:05,Varsjá,W61540,Wizz Air,00:04,Actual
2021-10-09,2021-10-08,Departure,01:05,Munchen,LH2469,Lufthansa,01:08,Actual
2021-10-09,2021-10-08,Departure,06:00,Berlin Brandenburg,OG700,Play,05:50,Actual
2021-10-09,2021-10-08,Departure,06:30,London Stansted,OG800,Play,06:27,Actual
2021-10-09,2021-10-08,Departure,07:25,Frankfurt,FI520,Icelandair,07:25,Actual
2021-10-09,2021-10-08,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:41,Actual
2021-10-09,2021-10-08,Departure,07:40,París CDG,FI542,Icelandair,07:38,Actual
2021-10-09,2021-10-08,Departure,07:40,London Heathrow,FI450,Icelandair,07:32,Actual
2021-10-09,2021-10-08,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:45,Actual
2021-10-09,2021-10-08,Departure,07:40,Amsterdam,FI500,Icelandair,08:10,Actual
2021-10-09,2021-10-08,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:48,Actual
2021-10-09,2021-10-08,Departure,08:00,Manchester,FI440,Icelandair,07:47,Actual
2021-10-09,2021-10-08,Departure,08:50,Amsterdam,HV6888,Transavia,08:56,Actual
2021-10-09,2021-10-08,Departure,09:15,London Luton,EZY2296,EasyJet,09:10,Actual
2021-10-09,2021-10-08,Departure,10:30,Kaupmannahöfn,SK596,SAS,10:40,Actual
2021-10-09,2021-10-08,Departure,11:15,New York JFK,DL247,Delta,11:12,Actual
2021-10-09,2021-10-08,Departure,11:20,New York Newark,UA967,United Airlines,11:14,Actual
2021-10-09,2021-10-08,Departure,11:30,Osló,SK4788,SAS,Aflýst,Actual
2021-10-09,2021-10-08,Departure,11:40,Vagar,RC402,Atlantic Airways,17:44,Actual
2021-10-09,2021-10-08,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,13:44,Actual
2021-10-09,2021-10-08,Departure,15:10,Riga,BT170,Air Baltic,15:20,Actual
2021-10-09,2021-10-08,Departure,15:15,Kaupmannahöfn,OG904,Play,15:10,Actual
2021-10-09,2021-10-08,Departure,15:15,Barcelona,OG614,Play,15:15,Actual
2021-10-09,2021-10-08,Departure,16:10,London Heathrow,FI454,Icelandair,16:20,Actual
2021-10-09,2021-10-08,Departure,16:45,Chicago,FI853,Icelandair,16:42,Actual
2021-10-09,2021-10-08,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,16:49,Actual
2021-10-09,2021-10-08,Departure,16:50,Washington Dulles,FI645,Icelandair,16:49,Actual
2021-10-09,2021-10-08,Departure,16:55,Denver,FI671,Icelandair,17:02,Actual
2021-10-09,2021-10-08,Departure,17:00,New York JFK,FI615,Icelandair,16:55,Actual
2021-10-09,2021-10-08,Departure,17:00,New York Newark,FI623,Icelandair,16:51,Actual
2021-10-09,2021-10-08,Departure,17:05,Seattle,FI681,Icelandair,17:07,Actual
2021-10-09,2021-10-08,Departure,17:05,Toronto,FI603,Icelandair,17:02,Actual
2021-10-09,2021-10-08,Departure,17:15,Orlando,FI689,Icelandair,17:15,Actual
2021-10-09,2021-10-08,Departure,17:15,Boston,FI631,Icelandair,17:21,Actual
2021-10-09,2021-10-08,Departure,19:20,Rome Fiumicino,W68266,Wizz Air,20:08,Actual
2021-10-09,2021-10-08,Departure,20:45,Katowice,W61168,Wizz Air,21:08,Actual
2021-10-09,2021-10-07,Departure,00:25,Frankfurt,LH869,Lufthansa,00:50,Actual
2021-10-09,2021-10-07,Departure,06:00,Berlin Brandenburg,OG700,Play,05:46,Actual
2021-10-09,2021-10-07,Departure,06:00,París CDG,OG400,Play,05:41,Actual
2021-10-09,2021-10-07,Departure,06:30,London Stansted,OG800,Play,06:12,Actual
2021-10-09,2021-10-07,Departure,07:20,Zurich,FI568,Icelandair,07:27,Actual
2021-10-09,2021-10-07,Departure,07:20,Munchen,FI532,Icelandair,07:27,Actual
2021-10-09,2021-10-07,Departure,07:25,Frankfurt,FI520,Icelandair,07:30,Actual
2021-10-09,2021-10-07,Departure,07:30,Dublin,FI416,Icelandair,07:32,Actual
2021-10-09,2021-10-07,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:42,Actual
2021-10-09,2021-10-07,Departure,07:40,Brussel,FI554,Icelandair,07:42,Actual
2021-10-09,2021-10-07,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:51,Actual
2021-10-09,2021-10-07,Departure,07:40,London Heathrow,FI450,Icelandair,07:49,Actual
2021-10-09,2021-10-07,Departure,07:40,París CDG,FI542,Icelandair,07:49,Actual
2021-10-09,2021-10-07,Departure,07:40,Amsterdam,FI500,Icelandair,07:56,Actual
2021-10-09,2021-10-07,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,08:01,Actual
2021-10-09,2021-10-07,Departure,07:50,Osló,FI318,Icelandair,08:02,Actual
2021-10-09,2021-10-07,Departure,08:00,Manchester,FI440,Icelandair,08:01,Actual
2021-10-09,2021-10-07,Departure,08:30,Paris Le Bourget,ENT530,Enter Air Spolka z.o.o.,09:37,Actual
2021-10-09,2021-10-07,Departure,08:40,Tenerife South,FI580,Icelandair,08:48,Actual
2021-10-09,2021-10-07,Departure,08:45,London Luton,EZY2296,EasyJet,08:45,Actual
2021-10-09,2021-10-07,Departure,08:50,Alicante,FI1582,Icelandair,08:53,Actual
2021-10-09,2021-10-07,Departure,09:00,Manchester,EZY1806,EasyJet,08:58,Actual
2021-10-09,2021-10-07,Departure,10:15,Leeds,LS4086,JET2.Com,10:08,Actual
2021-10-09,2021-10-07,Departure,10:40,London Heathrow,BA801,British Airways,10:47,Actual
2021-10-09,2021-10-07,Departure,10:45,Birmingham,LS4090,JET2.Com,10:31,Actual
2021-10-09,2021-10-07,Departure,11:15,New York JFK,DL247,Delta,11:21,Actual
2021-10-09,2021-10-07,Departure,11:15,Manchester,LS4088,JET2.Com,11:14,Actual
2021-10-09,2021-10-07,Departure,11:20,Osló,DY1171,Norwegian,11:20,Actual
2021-10-09,2021-10-07,Departure,11:20,New York Newark,UA967,United Airlines,11:04,Actual
