CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-09-15,2021-09-14,Departure,00:25,Frankfurt,LH869,Lufthansa,00:25,Actual
2021-09-15,2021-09-14,Departure,07:20,Zurich,FI568,Icelandair,07:16,Actual
2021-09-15,2021-09-14,Departure,07:20,Munchen,FI532,Icelandair,07:23,Actual
2021-09-15,2021-09-14,Departure,07:25,Frankfurt,FI520,Icelandair,07:23,Actual
2021-09-15,2021-09-14,Departure,07:30,Dublin,FI416,Icelandair,07:29,Actual
2021-09-15,2021-09-14,Departure,07:35,Glasgow,FI430,Icelandair,07:43,Actual
2021-09-15,2021-09-14,Departure,07:40,Amsterdam,FI500,Icelandair,07:31,Actual
2021-09-15,2021-09-14,Departure,07:40,London Heathrow,FI450,Icelandair,07:43,Actual
2021-09-15,2021-09-14,Departure,07:40,París CDG,FI542,Icelandair,07:38,Actual
2021-09-15,2021-09-14,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:29,Actual
2021-09-15,2021-09-14,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:37,Actual
2021-09-15,2021-09-14,Departure,07:50,Osló,FI318,Icelandair,07:43,Actual
2021-09-15,2021-09-14,Departure,07:50,Hamborg,FI510,Icelandair,07:36,Actual
2021-09-15,2021-09-14,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,07:46,Actual
2021-09-15,2021-09-14,Departure,09:30,Minneapolis St Paul,DL261,Delta,09:27,Actual
2021-09-15,2021-09-14,Departure,10:00,Alicante,OG600,Play,10:00,Actual
2021-09-15,2021-09-14,Departure,10:10,Tenerife South,OG620,Play,10:25,Actual
2021-09-15,2021-09-14,Departure,10:30,Chicago,UA913,United Airlines,10:17,Actual
2021-09-15,2021-09-14,Departure,10:45,London Heathrow,BA801,British Airways,10:48,Actual
2021-09-15,2021-09-14,Departure,11:15,New York JFK,DL247,Delta,11:00,Actual
2021-09-15,2021-09-14,Departure,11:20,New York Newark,UA967,United Airlines,11:05,Actual
2021-09-15,2021-09-14,Departure,13:35,Frankfurt,LH857,Lufthansa,13:19,Actual
2021-09-15,2021-09-14,Departure,16:25,Búdapest,W62428,Wizz Air,16:27,Actual
2021-09-15,2021-09-14,Departure,16:50,Washington Dulles,FI645,Icelandair,16:50,Actual
2021-09-15,2021-09-14,Departure,16:50,Portland,FI665,Icelandair,16:53,Actual
2021-09-15,2021-09-14,Departure,16:55,Denver,FI671,Icelandair,16:53,Actual
2021-09-15,2021-09-14,Departure,17:00,New York JFK,FI615,Icelandair,17:03,Actual
2021-09-15,2021-09-14,Departure,17:00,New York Newark,FI623,Icelandair,17:15,Actual
2021-09-15,2021-09-14,Departure,17:05,Seattle,FI681,Icelandair,17:03,Actual
2021-09-15,2021-09-14,Departure,17:15,Boston,FI631,Icelandair,17:02,Actual
2021-09-15,2021-09-14,Departure,17:50,Vín,W62858,Wizz Air,17:58,Actual
2021-09-15,2021-09-14,Departure,18:35,Katowice,W61168,Wizz Air,18:31,Actual
2021-09-15,2021-09-14,Departure,18:50,Wroclaw,W61898,Wizz Air,18:34,Actual
2021-09-15,2021-09-14,Departure,19:20,Mílanó,W65566,Wizz Air,19:11,Actual
2021-09-15,2021-09-14,Departure,20:50,Gdansk,W61774,Wizz Air,20:45,Actual
2021-09-15,2021-09-13,Departure,00:05,Varsjá,W61540,Wizz Air,02:21,Actual
2021-09-15,2021-09-13,Departure,00:25,Frankfurt,LH869,Lufthansa,00:45,Actual
2021-09-15,2021-09-13,Departure,00:30,Dusseldorf,EW9281,Eurowings,00:57,Actual
2021-09-15,2021-09-13,Departure,06:30,London Stansted,OG800,Play,06:24,Actual
2021-09-15,2021-09-13,Departure,07:20,Zurich,FI568,Icelandair,07:18,Actual
2021-09-15,2021-09-13,Departure,07:20,Munchen,FI532,Icelandair,07:19,Actual
2021-09-15,2021-09-13,Departure,07:25,Frankfurt,FI520,Icelandair,07:18,Actual
2021-09-15,2021-09-13,Departure,07:30,Helsinki,FI342,Icelandair,Aflýst,Actual
2021-09-15,2021-09-13,Departure,07:35,Stokkhólmur,FI306,Icelandair,07:47,Actual
2021-09-15,2021-09-13,Departure,07:40,París CDG,FI542,Icelandair,07:45,Actual
2021-09-15,2021-09-13,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,07:42,Actual
2021-09-15,2021-09-13,Departure,07:40,London Heathrow,FI450,Icelandair,07:36,Actual
2021-09-15,2021-09-13,Departure,07:40,Amsterdam,FI500,Icelandair,07:36,Actual
2021-09-15,2021-09-13,Departure,07:40,Brussel,FI554,Icelandair,07:28,Actual
2021-09-15,2021-09-13,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,07:34,Actual
2021-09-15,2021-09-13,Departure,07:50,Osló,FI318,Icelandair,Aflýst,Actual
2021-09-15,2021-09-13,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,07:48,Actual
2021-09-15,2021-09-13,Departure,08:00,Manchester,FI440,Icelandair,07:54,Actual
2021-09-15,2021-09-13,Departure,08:50,Alicante,FI1582,Icelandair,09:02,Actual
2021-09-15,2021-09-13,Departure,09:10,London Luton,EZY2296,EasyJet,09:16,Actual
