Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-21,2021-12-03,2021-12-06,AMS,20043
Play,2021-10-21,2021-12-03,2021-12-10,AMS,20042
Play,2021-10-21,2021-12-03,2021-12-13,AMS,23282
Play,2021-10-21,2021-12-03,2021-12-16,AMS,20042
Play,2021-10-21,2021-12-03,2021-12-17,AMS,20042
Play,2021-10-21,2021-12-03,2021-12-19,AMS,25067
Play,2021-10-21,2021-12-03,2021-12-20,AMS,26666
Play,2021-10-21,2021-12-03,2021-12-24,AMS,28688
Play,2021-10-21,2021-12-03,2021-12-26,AMS,39170
Play,2021-10-21,2021-12-03,2021-12-27,AMS,39170
Play,2021-10-21,2021-12-03,2021-12-30,AMS,26666
Play,2021-10-21,2021-12-03,2021-12-31,AMS,25067
Play,2021-10-21,2021-12-03,2022-01-03,AMS,25067
Play,2021-10-21,2021-12-03,2022-01-06,AMS,20043
Play,2021-10-21,2021-12-03,2022-01-07,AMS,20043
Play,2021-10-21,2021-12-03,2022-01-09,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-10,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-13,AMS,20043
Play,2021-10-21,2021-12-03,2022-01-14,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-16,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-17,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-20,AMS,20043
Play,2021-10-21,2021-12-03,2022-01-21,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-23,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-24,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-27,AMS,20043
Play,2021-10-21,2021-12-03,2022-01-28,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-30,AMS,20042
Play,2021-10-21,2021-12-03,2022-01-31,AMS,20042
Play,2021-10-21,2021-12-03,2022-02-03,AMS,20043
Play,2021-10-21,2021-12-03,2022-02-04,AMS,20042
Play,2021-10-21,2021-12-03,2022-02-06,AMS,20042
Play,2021-10-21,2021-12-03,2022-02-07,AMS,20042
Play,2021-10-21,2021-12-06,2021-12-10,AMS,20042
Play,2021-10-21,2021-12-06,2021-12-13,AMS,23282
Play,2021-10-21,2021-12-06,2021-12-16,AMS,20042
Play,2021-10-21,2021-12-06,2021-12-17,AMS,20042
Play,2021-10-21,2021-12-06,2021-12-19,AMS,25067
Play,2021-10-21,2021-12-06,2021-12-20,AMS,26666
Play,2021-10-21,2021-12-06,2021-12-24,AMS,28688
Play,2021-10-21,2021-12-06,2021-12-26,AMS,39170
Play,2021-10-21,2021-12-06,2021-12-27,AMS,39170
Play,2021-10-21,2021-12-06,2021-12-30,AMS,26666
Play,2021-10-21,2021-12-06,2021-12-31,AMS,25067
Play,2021-10-21,2021-12-06,2022-01-03,AMS,25067
Play,2021-10-21,2021-12-06,2022-01-06,AMS,20043
Play,2021-10-21,2021-12-06,2022-01-07,AMS,20043
Play,2021-10-21,2021-12-06,2022-01-09,AMS,20042
Play,2021-10-21,2021-12-06,2022-01-10,AMS,20042
Play,2021-10-21,2021-12-06,2022-01-13,AMS,20043
Play,2021-10-21,2021-12-06,2022-01-14,AMS,20042
Play,2021-10-21,2021-12-06,2022-01-16,AMS,20042
