Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-29,2021-12-21,2021-12-28,ALC,81601
Play,2021-10-29,2021-12-21,2022-01-04,ALC,116101
Play,2021-10-29,2021-12-28,2022-01-04,ALC,90601
Play,2021-10-29,2021-12-28,2022-01-11,ALC,62101
Play,2021-10-29,2022-01-04,2022-01-11,ALC,56101
Play,2021-10-29,2022-01-04,2022-01-18,ALC,47851
Play,2021-10-29,2022-01-04,2022-01-25,ALC,47851
Play,2021-10-29,2022-01-11,2022-01-18,ALC,36403
Play,2021-10-29,2022-01-11,2022-01-25,ALC,36403
Play,2021-10-29,2022-01-18,2022-01-25,ALC,35278
Play,2021-10-29,2021-12-03,2021-12-06,AMS,22467
Play,2021-10-29,2021-12-03,2021-12-10,AMS,19471
Play,2021-10-29,2021-12-03,2021-12-13,AMS,26062
Play,2021-10-29,2021-12-03,2021-12-16,AMS,19471
Play,2021-10-29,2021-12-03,2021-12-17,AMS,22467
Play,2021-10-29,2021-12-03,2021-12-19,AMS,27862
Play,2021-10-29,2021-12-03,2021-12-20,AMS,27862
Play,2021-10-29,2021-12-03,2021-12-24,AMS,29812
Play,2021-10-29,2021-12-06,2021-12-10,AMS,17052
Play,2021-10-29,2021-12-06,2021-12-13,AMS,23643
Play,2021-10-29,2021-12-06,2021-12-16,AMS,17052
Play,2021-10-29,2021-12-06,2021-12-17,AMS,20048
Play,2021-10-29,2021-12-06,2021-12-19,AMS,25443
Play,2021-10-29,2021-12-06,2021-12-20,AMS,25443
Play,2021-10-29,2021-12-06,2021-12-24,AMS,27393
Play,2021-10-29,2021-12-06,2021-12-26,AMS,40293
Play,2021-10-29,2021-12-06,2021-12-27,AMS,33243
Play,2021-10-29,2021-12-10,2021-12-13,AMS,31197
Play,2021-10-29,2021-12-10,2021-12-16,AMS,24606
Play,2021-10-29,2021-12-10,2021-12-17,AMS,27602
Play,2021-10-29,2021-12-10,2021-12-19,AMS,32997
Play,2021-10-29,2021-12-10,2021-12-20,AMS,32997
Play,2021-10-29,2021-12-10,2021-12-24,AMS,34947
Play,2021-10-29,2021-12-10,2021-12-26,AMS,47847
Play,2021-10-29,2021-12-10,2021-12-27,AMS,40797
Play,2021-10-29,2021-12-10,2021-12-30,AMS,34947
Play,2021-10-29,2021-12-10,2021-12-31,AMS,34947
Play,2021-10-29,2021-12-13,2021-12-16,AMS,17052
Play,2021-10-29,2021-12-13,2021-12-17,AMS,20048
Play,2021-10-29,2021-12-13,2021-12-19,AMS,25443
