Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-24,2021-12-21,2021-12-28,ALC,74853
Play,2021-10-24,2021-12-21,2022-01-04,ALC,106353
Play,2021-10-24,2021-12-28,2022-01-04,ALC,90603
Play,2021-10-24,2021-12-28,2022-01-11,ALC,62103
Play,2021-10-24,2022-01-04,2022-01-11,ALC,62103
Play,2021-10-24,2022-01-04,2022-01-18,ALC,53853
Play,2021-10-24,2022-01-04,2022-01-25,ALC,51903
Play,2021-10-24,2022-01-11,2022-01-18,ALC,40653
Play,2021-10-24,2022-01-11,2022-01-25,ALC,38703
Play,2021-10-24,2022-01-18,2022-01-25,ALC,37203
Play,2021-10-24,2021-12-03,2021-12-06,AMS,24210
Play,2021-10-24,2021-12-03,2021-12-10,AMS,21359
Play,2021-10-24,2021-12-03,2021-12-13,AMS,24210
Play,2021-10-24,2021-12-03,2021-12-16,AMS,24210
Play,2021-10-24,2021-12-03,2021-12-17,AMS,24210
Play,2021-10-24,2021-12-03,2021-12-19,AMS,29612
Play,2021-10-24,2021-12-03,2021-12-20,AMS,31562
Play,2021-10-24,2021-12-03,2021-12-24,AMS,31562
Play,2021-10-24,2021-12-06,2021-12-10,AMS,18119
Play,2021-10-24,2021-12-06,2021-12-13,AMS,20970
Play,2021-10-24,2021-12-06,2021-12-16,AMS,20970
Play,2021-10-24,2021-12-06,2021-12-17,AMS,20970
Play,2021-10-24,2021-12-06,2021-12-19,AMS,26372
Play,2021-10-24,2021-12-06,2021-12-20,AMS,28322
Play,2021-10-24,2021-12-06,2021-12-24,AMS,28322
Play,2021-10-24,2021-12-06,2021-12-26,AMS,41222
Play,2021-10-24,2021-12-06,2021-12-27,AMS,41222
Play,2021-10-24,2021-12-10,2021-12-13,AMS,24210
Play,2021-10-24,2021-12-10,2021-12-16,AMS,24210
Play,2021-10-24,2021-12-10,2021-12-17,AMS,24210
Play,2021-10-24,2021-12-10,2021-12-19,AMS,29612
Play,2021-10-24,2021-12-10,2021-12-20,AMS,31562
Play,2021-10-24,2021-12-10,2021-12-24,AMS,31562
Play,2021-10-24,2021-12-10,2021-12-26,AMS,44462
Play,2021-10-24,2021-12-10,2021-12-27,AMS,44462
Play,2021-10-24,2021-12-10,2021-12-30,AMS,31562
Play,2021-10-24,2021-12-10,2021-12-31,AMS,29612
Play,2021-10-24,2021-12-13,2021-12-16,AMS,20970
