Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-28,2021-12-21,2021-12-28,ALC,81602
Play,2021-10-28,2021-12-21,2022-01-04,ALC,116102
Play,2021-10-28,2021-12-28,2022-01-04,ALC,90602
Play,2021-10-28,2021-12-28,2022-01-11,ALC,62102
Play,2021-10-28,2022-01-04,2022-01-11,ALC,56102
Play,2021-10-28,2022-01-04,2022-01-18,ALC,47852
Play,2021-10-28,2022-01-04,2022-01-25,ALC,47852
Play,2021-10-28,2022-01-11,2022-01-18,ALC,36404
Play,2021-10-28,2022-01-11,2022-01-25,ALC,36404
Play,2021-10-28,2022-01-18,2022-01-25,ALC,35279
Play,2021-10-28,2021-12-03,2021-12-06,AMS,22464
Play,2021-10-28,2021-12-03,2021-12-10,AMS,19466
Play,2021-10-28,2021-12-03,2021-12-13,AMS,26061
Play,2021-10-28,2021-12-03,2021-12-16,AMS,19466
Play,2021-10-28,2021-12-03,2021-12-17,AMS,19466
Play,2021-10-28,2021-12-03,2021-12-19,AMS,26061
Play,2021-10-28,2021-12-03,2021-12-20,AMS,27861
Play,2021-10-28,2021-12-03,2021-12-24,AMS,27861
Play,2021-10-28,2021-12-06,2021-12-10,AMS,17047
Play,2021-10-28,2021-12-06,2021-12-13,AMS,23642
Play,2021-10-28,2021-12-06,2021-12-16,AMS,17047
Play,2021-10-28,2021-12-06,2021-12-17,AMS,17047
Play,2021-10-28,2021-12-06,2021-12-19,AMS,23642
Play,2021-10-28,2021-12-06,2021-12-20,AMS,25442
Play,2021-10-28,2021-12-06,2021-12-24,AMS,25442
Play,2021-10-28,2021-12-06,2021-12-26,AMS,40292
Play,2021-10-28,2021-12-06,2021-12-27,AMS,33242
Play,2021-10-28,2021-12-10,2021-12-13,AMS,31196
Play,2021-10-28,2021-12-10,2021-12-16,AMS,24601
Play,2021-10-28,2021-12-10,2021-12-17,AMS,24601
Play,2021-10-28,2021-12-10,2021-12-19,AMS,31196
Play,2021-10-28,2021-12-10,2021-12-20,AMS,32996
Play,2021-10-28,2021-12-10,2021-12-24,AMS,32996
Play,2021-10-28,2021-12-10,2021-12-26,AMS,47846
Play,2021-10-28,2021-12-10,2021-12-27,AMS,40796
Play,2021-10-28,2021-12-10,2021-12-30,AMS,32996
Play,2021-10-28,2021-12-10,2021-12-31,AMS,32996
Play,2021-10-28,2021-12-13,2021-12-16,AMS,15697
Play,2021-10-28,2021-12-13,2021-12-17,AMS,15697
Play,2021-10-28,2021-12-13,2021-12-19,AMS,22292
Play,2021-10-28,2021-12-13,2021-12-20,AMS,24092
Play,2021-10-28,2021-12-13,2021-12-24,AMS,24092
Play,2021-10-28,2021-12-13,2021-12-26,AMS,38942
Play,2021-10-28,2021-12-13,2021-12-27,AMS,31892
Play,2021-10-28,2021-12-13,2021-12-30,AMS,24092
Play,2021-10-28,2021-12-13,2021-12-31,AMS,24092
Play,2021-10-28,2021-12-16,2021-12-17,AMS,15697
Play,2021-10-28,2021-12-16,2021-12-19,AMS,22292
Play,2021-10-28,2021-12-16,2021-12-20,AMS,24092
Play,2021-10-28,2021-12-16,2021-12-24,AMS,24092
Play,2021-10-28,2021-12-16,2021-12-26,AMS,38942
Play,2021-10-28,2021-12-16,2021-12-27,AMS,31892
Play,2021-10-28,2021-12-16,2021-12-30,AMS,24092
Play,2021-10-28,2021-12-16,2021-12-31,AMS,24092
Play,2021-10-28,2021-12-17,2021-12-19,AMS,22292
Play,2021-10-28,2021-12-17,2021-12-20,AMS,24092
Play,2021-10-28,2021-12-17,2021-12-24,AMS,24092
Play,2021-10-28,2021-12-17,2021-12-26,AMS,38942
Play,2021-10-28,2021-12-17,2021-12-27,AMS,31892
Play,2021-10-28,2021-12-17,2021-12-30,AMS,24092
Play,2021-10-28,2021-12-17,2021-12-31,AMS,24092
Play,2021-10-28,2021-12-17,2022-01-03,AMS,24092
Play,2021-10-28,2021-12-19,2021-12-20,AMS,24092
Play,2021-10-28,2021-12-19,2021-12-24,AMS,24092
Play,2021-10-28,2021-12-19,2021-12-26,AMS,38942
Play,2021-10-28,2021-12-19,2021-12-27,AMS,31892
