Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-26,2021-12-21,2021-12-28,ALC,81601
Play,2021-10-26,2021-12-21,2022-01-04,ALC,106351
Play,2021-10-26,2021-12-28,2022-01-04,ALC,77851
Play,2021-10-26,2021-12-28,2022-01-11,ALC,59101
Play,2021-10-26,2022-01-04,2022-01-11,ALC,56101
Play,2021-10-26,2022-01-04,2022-01-18,ALC,47851
Play,2021-10-26,2022-01-04,2022-01-25,ALC,45901
Play,2021-10-26,2022-01-11,2022-01-18,ALC,40651
Play,2021-10-26,2022-01-11,2022-01-25,ALC,38701
Play,2021-10-26,2022-01-18,2022-01-25,ALC,35701
Play,2021-10-26,2021-12-03,2021-12-06,AMS,24213
Play,2021-10-26,2021-12-03,2021-12-10,AMS,21213
Play,2021-10-26,2021-12-03,2021-12-13,AMS,24213
Play,2021-10-26,2021-12-03,2021-12-16,AMS,24213
Play,2021-10-26,2021-12-03,2021-12-17,AMS,24213
Play,2021-10-26,2021-12-03,2021-12-19,AMS,29612
Play,2021-10-26,2021-12-03,2021-12-20,AMS,31562
Play,2021-10-26,2021-12-03,2021-12-24,AMS,31562
Play,2021-10-26,2021-12-06,2021-12-10,AMS,17973
Play,2021-10-26,2021-12-06,2021-12-13,AMS,20973
Play,2021-10-26,2021-12-06,2021-12-16,AMS,20973
Play,2021-10-26,2021-12-06,2021-12-17,AMS,20973
Play,2021-10-26,2021-12-06,2021-12-19,AMS,26372
Play,2021-10-26,2021-12-06,2021-12-20,AMS,28322
Play,2021-10-26,2021-12-06,2021-12-24,AMS,28322
Play,2021-10-26,2021-12-06,2021-12-26,AMS,41222
Play,2021-10-26,2021-12-06,2021-12-27,AMS,41222
Play,2021-10-26,2021-12-10,2021-12-13,AMS,25998
Play,2021-10-26,2021-12-10,2021-12-16,AMS,25998
Play,2021-10-26,2021-12-10,2021-12-17,AMS,25998
Play,2021-10-26,2021-12-10,2021-12-19,AMS,31397
Play,2021-10-26,2021-12-10,2021-12-20,AMS,33347
Play,2021-10-26,2021-12-10,2021-12-24,AMS,33347
Play,2021-10-26,2021-12-10,2021-12-26,AMS,46247
Play,2021-10-26,2021-12-10,2021-12-27,AMS,46247
Play,2021-10-26,2021-12-10,2021-12-30,AMS,33347
Play,2021-10-26,2021-12-10,2021-12-31,AMS,33347
Play,2021-10-26,2021-12-13,2021-12-16,AMS,20973
Play,2021-10-26,2021-12-13,2021-12-17,AMS,20973
Play,2021-10-26,2021-12-13,2021-12-19,AMS,26372
Play,2021-10-26,2021-12-13,2021-12-20,AMS,28322
Play,2021-10-26,2021-12-13,2021-12-24,AMS,28322
Play,2021-10-26,2021-12-13,2021-12-26,AMS,41222
Play,2021-10-26,2021-12-13,2021-12-27,AMS,41222
Play,2021-10-26,2021-12-13,2021-12-30,AMS,28322
Play,2021-10-26,2021-12-13,2021-12-31,AMS,28322
Play,2021-10-26,2021-12-16,2021-12-17,AMS,22773
Play,2021-10-26,2021-12-16,2021-12-19,AMS,28172
Play,2021-10-26,2021-12-16,2021-12-20,AMS,30122
Play,2021-10-26,2021-12-16,2021-12-24,AMS,30122
Play,2021-10-26,2021-12-16,2021-12-26,AMS,43022
Play,2021-10-26,2021-12-16,2021-12-27,AMS,43022
Play,2021-10-26,2021-12-16,2021-12-30,AMS,30122
