Airline,C_Date,DateOut,DateBack,Destination,Price
Play,2021-10-22,2021-12-03,2021-12-06,AMS,20040
Play,2021-10-22,2021-12-03,2021-12-10,AMS,20040
Play,2021-10-22,2021-12-06,2021-12-10,AMS,18240
Play,2021-10-22,2021-10-25,2021-10-29,BCN,53409
Play,2021-10-22,2021-10-24,2021-10-25,BER,44229
Play,2021-10-22,2021-10-24,2021-10-28,BER,35190
Play,2021-10-22,2021-10-24,2021-10-29,BER,35190
Play,2021-10-22,2021-10-24,2021-10-31,BER,36789
Play,2021-10-22,2021-10-24,2021-11-01,BER,35190
Play,2021-10-22,2021-10-24,2021-11-04,BER,33405
Play,2021-10-22,2021-10-24,2021-11-05,BER,30165
Play,2021-10-22,2021-10-24,2021-11-07,BER,35190
Play,2021-10-22,2021-10-24,2021-11-08,BER,36789
Play,2021-10-22,2021-10-24,2021-11-11,BER,31965
Play,2021-10-22,2021-10-24,2021-11-12,BER,31965
Play,2021-10-22,2021-10-24,2021-11-14,BER,35190
Play,2021-10-22,2021-10-24,2021-11-15,BER,36789
Play,2021-10-22,2021-10-24,2021-11-18,BER,31965
Play,2021-10-22,2021-10-24,2021-11-19,BER,33405
Play,2021-10-22,2021-10-24,2021-11-21,BER,35190
Play,2021-10-22,2021-10-24,2021-11-22,BER,36789
Play,2021-10-22,2021-10-24,2021-11-25,BER,31965
Play,2021-10-22,2021-10-24,2021-11-26,BER,31965
Play,2021-10-22,2021-10-24,2021-11-28,BER,35190
Play,2021-10-22,2021-10-24,2021-11-29,BER,40449
Play,2021-10-22,2021-10-24,2021-12-02,BER,35190
Play,2021-10-22,2021-10-24,2021-12-03,BER,33405
Play,2021-10-22,2021-10-24,2021-12-05,BER,35190
Play,2021-10-22,2021-10-24,2021-12-06,BER,42087
Play,2021-10-22,2021-10-24,2021-12-09,BER,35190
Play,2021-10-22,2021-10-24,2021-12-10,BER,30165
Play,2021-10-22,2021-10-25,2021-10-28,BER,28293
Play,2021-10-22,2021-10-25,2021-10-29,BER,28293
Play,2021-10-22,2021-10-25,2021-10-31,BER,29892
Play,2021-10-22,2021-10-25,2021-11-01,BER,28293
Play,2021-10-22,2021-10-25,2021-11-04,BER,26508
Play,2021-10-22,2021-10-25,2021-11-05,BER,23268
Play,2021-10-22,2021-10-25,2021-11-07,BER,28293
Play,2021-10-22,2021-10-25,2021-11-08,BER,29892
Play,2021-10-22,2021-10-25,2021-11-11,BER,25068
Play,2021-10-22,2021-10-25,2021-11-12,BER,25068
Play,2021-10-22,2021-10-25,2021-11-14,BER,28293
Play,2021-10-22,2021-10-25,2021-11-15,BER,29892
Play,2021-10-22,2021-10-25,2021-11-18,BER,25068
Play,2021-10-22,2021-10-25,2021-11-19,BER,26508
Play,2021-10-22,2021-10-25,2021-11-21,BER,28293
Play,2021-10-22,2021-10-25,2021-11-22,BER,29892
Play,2021-10-22,2021-10-25,2021-11-25,BER,25068
Play,2021-10-22,2021-10-25,2021-11-26,BER,25068
Play,2021-10-22,2021-10-25,2021-11-28,BER,28293
Play,2021-10-22,2021-10-25,2021-11-29,BER,33552
Play,2021-10-22,2021-10-25,2021-12-02,BER,28293
Play,2021-10-22,2021-10-25,2021-12-03,BER,26508
Play,2021-10-22,2021-10-25,2021-12-05,BER,28293
Play,2021-10-22,2021-10-25,2021-12-06,BER,35190
Play,2021-10-22,2021-10-25,2021-12-09,BER,28293
Play,2021-10-22,2021-10-25,2021-12-10,BER,23268
Play,2021-10-22,2021-10-28,2021-10-29,BER,29892
Play,2021-10-22,2021-10-28,2021-10-31,BER,31491
Play,2021-10-22,2021-10-28,2021-11-01,BER,29892
Play,2021-10-22,2021-10-28,2021-11-04,BER,28107
Play,2021-10-22,2021-10-28,2021-11-05,BER,24867
Play,2021-10-22,2021-10-28,2021-11-07,BER,29892
Play,2021-10-22,2021-10-28,2021-11-08,BER,31491
Play,2021-10-22,2021-10-28,2021-11-11,BER,26667
Play,2021-10-22,2021-10-28,2021-11-12,BER,26667
Play,2021-10-22,2021-10-28,2021-11-14,BER,29892
Play,2021-10-22,2021-10-28,2021-11-15,BER,31491
Play,2021-10-22,2021-10-28,2021-11-18,BER,26667
Play,2021-10-22,2021-10-28,2021-11-19,BER,28107
Play,2021-10-22,2021-10-28,2021-11-21,BER,29892
Play,2021-10-22,2021-10-28,2021-11-22,BER,31491
Play,2021-10-22,2021-10-28,2021-11-25,BER,26667
Play,2021-10-22,2021-10-28,2021-11-26,BER,26667
Play,2021-10-22,2021-10-28,2021-11-28,BER,29892
Play,2021-10-22,2021-10-28,2021-11-29,BER,35151
Play,2021-10-22,2021-10-28,2021-12-02,BER,29892
Play,2021-10-22,2021-10-28,2021-12-03,BER,28107
Play,2021-10-22,2021-10-28,2021-12-05,BER,29892
Play,2021-10-22,2021-10-28,2021-12-06,BER,36789
Play,2021-10-22,2021-10-28,2021-12-09,BER,29892
Play,2021-10-22,2021-10-28,2021-12-10,BER,24867
Play,2021-10-22,2021-10-29,2021-10-31,BER,28107
Play,2021-10-22,2021-10-29,2021-11-01,BER,26508
Play,2021-10-22,2021-10-29,2021-11-04,BER,24723
Play,2021-10-22,2021-10-29,2021-11-05,BER,21483
Play,2021-10-22,2021-10-29,2021-11-07,BER,26508
Play,2021-10-22,2021-10-29,2021-11-08,BER,28107
Play,2021-10-22,2021-10-29,2021-11-11,BER,23283
Play,2021-10-22,2021-10-29,2021-11-12,BER,23283
Play,2021-10-22,2021-10-29,2021-11-14,BER,26508
Play,2021-10-22,2021-10-29,2021-11-15,BER,28107
Play,2021-10-22,2021-10-29,2021-11-18,BER,23283
Play,2021-10-22,2021-10-29,2021-11-19,BER,24723
Play,2021-10-22,2021-10-29,2021-11-21,BER,26508
Play,2021-10-22,2021-10-29,2021-11-22,BER,28107
Play,2021-10-22,2021-10-29,2021-11-25,BER,23283
Play,2021-10-22,2021-10-29,2021-11-26,BER,23283
Play,2021-10-22,2021-10-29,2021-11-28,BER,26508
Play,2021-10-22,2021-10-29,2021-11-29,BER,31767
Play,2021-10-22,2021-10-29,2021-12-02,BER,26508
Play,2021-10-22,2021-10-29,2021-12-03,BER,24723
Play,2021-10-22,2021-10-29,2021-12-05,BER,26508
Play,2021-10-22,2021-10-29,2021-12-06,BER,33405
Play,2021-10-22,2021-10-29,2021-12-09,BER,26508
Play,2021-10-22,2021-10-29,2021-12-10,BER,21483
Play,2021-10-22,2021-10-31,2021-11-01,BER,28293
Play,2021-10-22,2021-10-31,2021-11-04,BER,26508
Play,2021-10-22,2021-10-31,2021-11-05,BER,23268
Play,2021-10-22,2021-10-31,2021-11-07,BER,28293
Play,2021-10-22,2021-10-31,2021-11-08,BER,29892
Play,2021-10-22,2021-10-31,2021-11-11,BER,25068
Play,2021-10-22,2021-10-31,2021-11-12,BER,25068
Play,2021-10-22,2021-10-31,2021-11-14,BER,28293
Play,2021-10-22,2021-10-31,2021-11-15,BER,29892
Play,2021-10-22,2021-10-31,2021-11-18,BER,25068
Play,2021-10-22,2021-10-31,2021-11-19,BER,26508
Play,2021-10-22,2021-10-31,2021-11-21,BER,28293
Play,2021-10-22,2021-10-31,2021-11-22,BER,29892
Play,2021-10-22,2021-10-31,2021-11-25,BER,25068
Play,2021-10-22,2021-10-31,2021-11-26,BER,25068
Play,2021-10-22,2021-10-31,2021-11-28,BER,28293
Play,2021-10-22,2021-10-31,2021-11-29,BER,33552
Play,2021-10-22,2021-10-31,2021-12-02,BER,28293
Play,2021-10-22,2021-10-31,2021-12-03,BER,26508
Play,2021-10-22,2021-10-31,2021-12-05,BER,28293
Play,2021-10-22,2021-10-31,2021-12-06,BER,35190
Play,2021-10-22,2021-10-31,2021-12-09,BER,28293
Play,2021-10-22,2021-10-31,2021-12-10,BER,23268
Play,2021-10-22,2021-11-01,2021-11-04,BER,24723
Play,2021-10-22,2021-11-01,2021-11-05,BER,21483
Play,2021-10-22,2021-11-01,2021-11-07,BER,26508
Play,2021-10-22,2021-11-01,2021-11-08,BER,28107
