Airline,C_Date,Date,IsHomeFlight,Dest,Price
Play,2021-10-14,2021-10-16,True,ALC,32551
Play,2021-10-14,2021-10-16,False,ALC,58050
Play,2021-10-14,2021-10-19,True,ALC,91051
Play,2021-10-14,2021-10-19,False,ALC,32550
Play,2021-10-14,2021-10-23,True,ALC,91051
Play,2021-10-14,2021-10-23,False,ALC,29550
Play,2021-10-14,2021-10-26,True,ALC,91051
Play,2021-10-14,2021-10-26,False,ALC,21300
Play,2021-10-14,2021-12-21,True,ALC,21301
Play,2021-10-14,2021-10-30,False,ALC,17850
Play,2021-10-14,2021-12-03,True,AMS,10922
Play,2021-10-14,2021-12-03,False,AMS,10920
Play,2021-10-14,2021-12-06,True,AMS,10922
Play,2021-10-14,2021-12-06,False,AMS,9120
Play,2021-10-14,2021-12-10,True,AMS,9122
Play,2021-10-14,2021-12-10,False,AMS,12360
Play,2021-10-14,2021-12-13,True,AMS,10922
Play,2021-10-14,2021-12-13,False,AMS,9120
Play,2021-10-14,2021-12-16,True,AMS,10922
Play,2021-10-14,2021-12-16,False,AMS,12360
Play,2021-10-14,2021-12-17,True,AMS,9122
Play,2021-10-14,2021-12-17,False,AMS,12360
Play,2021-10-14,2021-12-19,True,AMS,10922
Play,2021-10-14,2021-12-19,False,AMS,10920
Play,2021-10-14,2021-12-20,True,AMS,14147
Play,2021-10-14,2021-12-20,False,AMS,12360
Play,2021-10-14,2021-12-24,True,AMS,17768
Play,2021-10-14,2021-12-24,False,AMS,12360
Play,2021-10-14,2021-10-15,True,BCN,21043
Play,2021-10-14,2021-10-15,False,BCN,64695
Play,2021-10-14,2021-10-18,True,BCN,21043
Play,2021-10-14,2021-10-18,False,BCN,21042
Play,2021-10-14,2021-10-22,True,BCN,28249
Play,2021-10-14,2021-10-22,False,BCN,46440
Play,2021-10-14,2021-10-25,True,BCN,46441
Play,2021-10-14,2021-10-25,False,BCN,15744
Play,2021-10-14,2021-10-29,True,BCN,28249
Play,2021-10-14,2021-10-29,False,BCN,17766
Play,2021-10-14,2021-10-15,True,BER,17767
Play,2021-10-14,2021-10-15,False,BER,19405
Play,2021-10-14,2021-10-17,True,BER,21043
Play,2021-10-14,2021-10-17,False,BER,17767
Play,2021-10-14,2021-10-18,True,BER,21043
