Id,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
87,Icelandair,17:08,2021-07-24,2021-07-22,Denver,FI671,16:55,Departure
88,Icelandair,16:59,2021-07-24,2021-07-22,New York JFK,FI615,17:00,Departure
89,Icelandair,16:58,2021-07-24,2021-07-22,New York Newark,FI623,17:00,Departure
90,Icelandair,17:09,2021-07-24,2021-07-22,Seattle,FI681,17:05,Departure
91,Vueling,16:52,2021-07-24,2021-07-22,Barcelona,VY8561,17:10,Departure
92,Icelandair,17:18,2021-07-24,2021-07-22,Boston,FI631,17:15,Departure
93,Icelandair,17:37,2021-07-24,2021-07-22,Seattle,FI683,17:50,Departure
94,Wizz Air,19:03,2021-07-24,2021-07-22,Riga,W62598,18:50,Departure
95,Norwegian,19:04,2021-07-24,2021-07-22,Osló,DY1171,19:05,Departure
96,Wizz Air,19:55,2021-07-24,2021-07-22,Mílanó,W65566,19:20,Departure
97,Wizz Air,20:00,2021-07-24,2021-07-22,Gdansk,W61774,20:00,Departure
98,Wizz Air,00:34,2021-07-24,2021-07-21,Varsjá,W61540,00:10,Departure
99,Icelandair,07:33,2021-07-24,2021-07-21,Zurich,FI568,07:20,Departure
100,Icelandair,07:34,2021-07-24,2021-07-21,Frankfurt,FI520,07:25,Departure
101,Icelandair,07:48,2021-07-24,2021-07-21,Stokkhólmur,FI306,07:35,Departure
102,Icelandair,07:47,2021-07-24,2021-07-21,London Heathrow,FI450,07:40,Departure
103,Icelandair,07:55,2021-07-24,2021-07-21,Amsterdam,FI500,07:40,Departure
104,Icelandair,07:36,2021-07-24,2021-07-21,Berlin Brandenburg,FI528,07:40,Departure
105,Icelandair,07:43,2021-07-24,2021-07-21,París CDG,FI542,07:40,Departure
106,Icelandair,07:40,2021-07-24,2021-07-21,Brussel,FI554,07:40,Departure
107,Icelandair,07:53,2021-07-24,2021-07-21,París CDG,FI544,07:45,Departure
108,Icelandair,07:42,2021-07-24,2021-07-21,Kaupmannahöfn,FI204,07:45,Departure
109,Icelandair,08:02,2021-07-24,2021-07-21,Kaupmannahöfn,FI206,08:00,Departure
110,Neos,08:26,2021-07-24,2021-07-21,Tenerife South,NO3924,08:20,Departure
111,Icelandair,08:45,2021-07-24,2021-07-21,Tenerife South,FI580,08:40,Departure
112,Delta,09:45,2021-07-24,2021-07-21,Minneapolis St Paul,DL261,09:30,Departure
113,Delta,10:08,2021-07-24,2021-07-21,Boston,DL267,10:15,Departure
114,SAS,10:20,2021-07-24,2021-07-21,Kaupmannahöfn,SK596,10:30,Departure
115,United Airlines,10:30,2021-07-24,2021-07-21,Chicago,UA913,10:30,Departure
116,Delta,10:51,2021-07-24,2021-07-21,New York JFK,DL247,10:50,Departure
117,United Airlines,11:00,2021-07-24,2021-07-21,New York Newark,UA967,11:20,Departure
118,Icelandair,13:51,2021-07-24,2021-07-21,Mílanó,FI592,14:00,Departure
119,Edelweiss,15:50,2021-07-24,2021-07-21,Zurich,WK301,15:50,Departure
120,Icelandair,16:37,2021-07-24,2021-07-21,Kaupmannahöfn,FI216,16:10,Departure
121,Icelandair,17:27,2021-07-24,2021-07-21,Minneapolis St Paul,FI657,16:45,Departure
122,Icelandair,16:49,2021-07-24,2021-07-21,Chicago,FI853,16:45,Departure
123,Icelandair,16:46,2021-07-24,2021-07-21,Washington Dulles,FI645,16:50,Departure
124,Icelandair,16:52,2021-07-24,2021-07-21,Denver,FI671,16:55,Departure
125,Icelandair,16:58,2021-07-24,2021-07-21,New York JFK,FI615,17:00,Departure
126,Icelandair,16:59,2021-07-24,2021-07-21,New York Newark,FI623,17:00,Departure
127,Icelandair,17:13,2021-07-24,2021-07-21,Seattle,FI681,17:05,Departure
128,Icelandair,17:24,2021-07-24,2021-07-21,Boston,FI631,17:15,Departure
129,Wizz Air,18:45,2021-07-24,2021-07-21,Katowice,W61168,18:50,Departure
130,Transavia,19:35,2021-07-24,2021-07-21,Amsterdam,HV6886,19:50,Departure
131,Lufthansa,00:31,2021-07-24,2021-07-20,Frankfurt,LH869,00:25,Departure
132,Icelandair,07:22,2021-07-24,2021-07-20,Munchen,FI532,07:20,Departure
133,Icelandair,07:19,2021-07-24,2021-07-20,Zurich,FI568,07:20,Departure
134,Icelandair,07:28,2021-07-24,2021-07-20,Frankfurt,FI520,07:25,Departure
135,Icelandair,07:33,2021-07-24,2021-07-20,Helsinki,FI342,07:30,Departure
136,Icelandair,07:43,2021-07-24,2021-07-20,London Heathrow,FI450,07:40,Departure
137,Icelandair,07:36,2021-07-24,2021-07-20,París CDG,FI542,07:40,Departure
138,Icelandair,07:38,2021-07-24,2021-07-20,Berlin Brandenburg,FI528,07:40,Departure
139,Icelandair,07:43,2021-07-24,2021-07-20,Amsterdam,FI500,07:40,Departure
140,Icelandair,07:56,2021-07-24,2021-07-20,París CDG,FI544,07:45,Departure
141,Icelandair,07:48,2021-07-24,2021-07-20,Kaupmannahöfn,FI204,07:45,Departure
142,Icelandair,07:43,2021-07-24,2021-07-20,Hamborg,FI510,07:50,Departure
143,Neos,08:20,2021-07-24,2021-07-20,Tenerife South,NO2924,08:20,Departure
144,Icelandair,08:52,2021-07-24,2021-07-20,Chania,FI1586,09:00,Departure
145,Delta,09:27,2021-07-24,2021-07-20,Minneapolis St Paul,DL261,09:30,Departure
146,Play,10:05,2021-07-24,2021-07-20,Alicante,OG600,10:00,Departure
147,Play,10:00,2021-07-24,2021-07-20,Tenerife South,OG620,10:05,Departure
148,Delta,10:23,2021-07-24,2021-07-20,Boston,DL267,10:15,Departure
149,SAS,10:27,2021-07-24,2021-07-20,Kaupmannahöfn,SK596,10:30,Departure
150,United Airlines,10:35,2021-07-24,2021-07-20,Chicago,UA913,10:30,Departure
151,Atlantic Airways,10:33,2021-07-24,2021-07-20,Kangerlussuaq,RC7371,10:35,Departure
152,British Airways,12:14,2021-07-24,2021-07-20,London Heathrow,BA801,10:45,Departure
153,Delta,11:04,2021-07-24,2021-07-20,New York JFK,DL247,10:50,Departure
154,United Airlines,11:11,2021-07-24,2021-07-20,New York Newark,UA967,11:20,Departure
155,Wizz Air,11:41,2021-07-24,2021-07-20,Wroclaw,W61898,11:50,Departure
156,Lufthansa,13:31,2021-07-24,2021-07-20,Frankfurt,LH857,13:35,Departure
157,Austrian,15:25,2021-07-24,2021-07-20,Vín,OS9764,15:35,Departure
158,Icelandair,16:22,2021-07-24,2021-07-20,Kaupmannahöfn,FI216,16:10,Departure
159,Wizz Air,17:09,2021-07-24,2021-07-20,Vín,W62858,16:40,Departure
160,Wizz Air,17:21,2021-07-24,2021-07-20,Búdapest,W62428,16:45,Departure
161,Icelandair,16:53,2021-07-24,2021-07-20,Portland,FI665,16:50,Departure
162,Icelandair,17:00,2021-07-24,2021-07-20,Washington Dulles,FI645,16:50,Departure
163,Icelandair,17:16,2021-07-24,2021-07-20,Denver,FI671,16:55,Departure
164,Icelandair,17:30,2021-07-24,2021-07-20,New York Newark,FI623,17:00,Departure
165,Icelandair,17:01,2021-07-24,2021-07-20,New York JFK,FI615,17:00,Departure
166,Icelandair,17:02,2021-07-24,2021-07-20,Seattle,FI681,17:05,Departure
167,Icelandair,17:18,2021-07-24,2021-07-20,Boston,FI631,17:15,Departure
168,Atlantic Airways,17:23,2021-07-24,2021-07-20,Vagar,RC7372,17:30,Departure
169,Wizz Air,19:44,2021-07-24,2021-07-20,Mílanó,W65566,19:20,Departure
170,Wizz Air,20:57,2021-07-24,2021-07-20,Gdansk,W61774,20:50,Departure
171,Wizz Air,00:23,2021-07-24,2021-07-19,Varsjá,W61540,00:10,Departure
172,Lufthansa,01:01,2021-07-24,2021-07-19,Frankfurt,LH869,00:25,Departure
173,Eurowings,01:00,2021-07-24,2021-07-19,Dusseldorf,EW9281,00:30,Departure
174,Austrian,00:55,2021-07-24,2021-07-19,Vín,OS9762,01:00,Departure
175,Czech Airlines,02:18,2021-07-24,2021-07-19,Prag,OK461,02:00,Departure
176,Play,05:49,2021-07-24,2021-07-19,París CDG,OG400,06:00,Departure
177,Play,06:24,2021-07-24,2021-07-19,London Stansted,OG800,06:30,Departure
178,Icelandair,07:20,2021-07-24,2021-07-19,Genf,FI564,07:20,Departure
179,Icelandair,07:19,2021-07-24,2021-07-19,Zurich,FI568,07:20,Departure
180,Icelandair,07:54,2021-07-24,2021-07-19,Frankfurt,FI520,07:25,Departure
181,Icelandair,07:50,2021-07-24,2021-07-19,Stokkhólmur,FI306,07:35,Departure
182,Icelandair,07:49,2021-07-24,2021-07-19,París CDG,FI542,07:40,Departure
183,Icelandair,07:41,2021-07-24,2021-07-19,London Heathrow,FI450,07:40,Departure
184,Icelandair,07:36,2021-07-24,2021-07-19,Brussel,FI554,07:40,Departure
185,Icelandair,07:36,2021-07-24,2021-07-19,Amsterdam,FI500,07:40,Departure
186,Icelandair,07:32,2021-07-24,2021-07-19,Berlin Brandenburg,FI528,07:40,Departure
187,Icelandair,07:45,2021-07-24,2021-07-19,Kaupmannahöfn,FI204,07:45,Departure
188,Icelandair,07:48,2021-07-24,2021-07-19,Osló,FI318,07:50,Departure
189,Icelandair,08:03,2021-07-24,2021-07-19,Kaupmannahöfn,FI206,08:00,Departure
190,EasyJet,08:54,2021-07-24,2021-07-19,London Luton,EZY2296,08:45,Departure
191,Transavia,08:58,2021-07-24,2021-07-19,Amsterdam,HV6886,08:45,Departure
192,Icelandair,08:42,2021-07-24,2021-07-19,Alicante,FI1582,08:50,Departure
193,Icelandair,09:16,2021-07-24,2021-07-19,Boston,FI635,09:20,Departure
194,Delta,09:23,2021-07-24,2021-07-19,Minneapolis St Paul,DL261,09:30,Departure
195,Delta,10:15,2021-07-24,2021-07-19,Boston,DL267,10:15,Departure
196,Atlantic Airways,10:43,2021-07-24,2021-07-19,Vagar,RC402,10:20,Departure
197,SAS,10:31,2021-07-24,2021-07-19,Kaupmannahöfn,SK596,10:30,Departure
198,United Airlines,10:39,2021-07-24,2021-07-19,Chicago,UA913,10:30,Departure
199,Delta,11:07,2021-07-24,2021-07-19,New York JFK,DL247,10:50,Departure
200,SAS,11:11,2021-07-24,2021-07-19,Osló,SK4788,11:10,Departure
201,United Airlines,11:18,2021-07-24,2021-07-19,New York Newark,UA967,11:20,Departure
202,Air Baltic,15:15,2021-07-24,2021-07-19,Riga,BT170,15:10,Departure
203,Play,15:12,2021-07-24,2021-07-19,Barcelona,OG614,15:15,Departure
204,Play,15:13,2021-07-24,2021-07-19,Berlin Brandenburg,OG704,15:15,Departure
205,Icelandair,15:50,2021-07-24,2021-07-19,París CDG,FI540,16:00,Departure
206,Icelandair,16:32,2021-07-24,2021-07-19,London Heathrow,FI454,16:10,Departure
207,Icelandair,16:27,2021-07-24,2021-07-19,Kaupmannahöfn,FI216,16:10,Departure
208,Icelandair,16:48,2021-07-24,2021-07-19,Billund,FI274,16:40,Departure
209,Icelandair,16:48,2021-07-24,2021-07-19,Chicago,FI853,16:45,Departure
210,Icelandair,17:05,2021-07-24,2021-07-19,Washington Dulles,FI645,16:50,Departure
211,Icelandair,17:02,2021-07-24,2021-07-19,Portland,FI665,16:50,Departure
212,Icelandair,16:58,2021-07-24,2021-07-19,Denver,FI671,16:55,Departure
213,Icelandair,17:15,2021-07-24,2021-07-19,New York JFK,FI615,17:00,Departure
214,Icelandair,17:15,2021-07-24,2021-07-19,New York Newark,FI623,17:00,Departure
215,Icelandair,17:16,2021-07-24,2021-07-19,Seattle,FI681,17:05,Departure
216,Vueling,16:59,2021-07-24,2021-07-19,Barcelona,VY8561,17:10,Departure
217,Icelandair,17:26,2021-07-24,2021-07-19,Boston,FI631,17:15,Departure
218,Wizz Air,21:09,2021-07-24,2021-07-19,Rome Fiumicino,W68266,19:20,Departure
219,Wizz Air,20:07,2021-07-24,2021-07-19,Katowice,W61168,20:00,Departure
220,Wizz Air,01:01,2021-07-24,2021-07-18,Varsjá,W61540,00:10,Departure
221,Lufthansa,01:19,2021-07-24,2021-07-18,Munchen,LH2469,01:05,Departure
222,Czech Airlines,01:22,2021-07-24,2021-07-18,Prag,OK461,01:30,Departure
223,Iberia Express,01:31,2021-07-24,2021-07-18,Madríd,I23661,01:35,Departure
224,Play,05:51,2021-07-24,2021-07-18,París CDG,OG400,06:00,Departure
225,Play,06:19,2021-07-24,2021-07-18,London Stansted,OG800,06:30,Departure
226,Icelandair,07:41,2021-07-24,2021-07-18,Zurich,FI568,07:20,Departure
227,Icelandair,07:25,2021-07-24,2021-07-18,Munchen,FI532,07:20,Departure
228,Icelandair,07:28,2021-07-24,2021-07-18,Frankfurt,FI520,07:25,Departure
229,Icelandair,07:51,2021-07-24,2021-07-18,Stokkhólmur,FI306,07:35,Departure
230,Icelandair,07:43,2021-07-24,2021-07-18,París CDG,FI542,07:40,Departure
231,Icelandair,07:53,2021-07-24,2021-07-18,Amsterdam,FI500,07:40,Departure
232,Icelandair,07:46,2021-07-24,2021-07-18,Brussel,FI554,07:40,Departure
233,Icelandair,07:43,2021-07-24,2021-07-18,Berlin Brandenburg,FI528,07:40,Departure
234,Icelandair,07:55,2021-07-24,2021-07-18,London Heathrow,FI450,07:40,Departure
235,Icelandair,07:58,2021-07-24,2021-07-18,Kaupmannahöfn,FI204,07:45,Departure
236,Icelandair,07:58,2021-07-24,2021-07-18,Osló,FI318,07:50,Departure
237,Icelandair,08:08,2021-07-24,2021-07-18,Kaupmannahöfn,FI206,08:00,Departure
238,Wizz Air,08:49,2021-07-24,2021-07-18,Wroclaw,W61898,09:00,Departure
239,Delta,09:37,2021-07-24,2021-07-18,Minneapolis St Paul,DL261,09:30,Departure
240,EasyJet,09:50,2021-07-24,2021-07-18,London Luton,EZY2296,09:35,Departure
241,SAS,09:57,2021-07-24,2021-07-18,Kaupmannahöfn,SK596,09:55,Departure
242,Norwegian,10:05,2021-07-24,2021-07-18,Osló,DY1171,10:00,Departure
243,Delta,10:38,2021-07-24,2021-07-18,Boston,DL267,10:15,Departure
244,United Airlines,10:20,2021-07-24,2021-07-18,Chicago,UA913,10:30,Departure
245,Eurowings,10:38,2021-07-24,2021-07-18,Hamborg,EW7809,10:35,Departure
246,Delta,11:09,2021-07-24,2021-07-18,New York JFK,DL247,10:50,Departure
247,United Airlines,11:12,2021-07-24,2021-07-18,New York Newark,UA967,11:20,Departure
248,Wizz Air,12:00,2021-07-24,2021-07-18,Dortmund,W64714,12:00,Departure
249,SAS,12:51,2021-07-24,2021-07-18,Osló,SK4788,12:45,Departure
250,Air Baltic,15:09,2021-07-24,2021-07-18,Riga,BT170,15:10,Departure
251,Play,15:07,2021-07-24,2021-07-18,Berlin Brandenburg,OG704,15:15,Departure
252,EasyJet,15:25,2021-07-24,2021-07-18,Edinborg,EZY6942,15:25,Departure
253,Icelandair,15:52,2021-07-24,2021-07-18,Frankfurt,FI524,15:55,Departure
254,Icelandair,16:22,2021-07-24,2021-07-18,París CDG,FI540,16:00,Departure
255,Icelandair,15:51,2021-07-24,2021-07-18,Berlin Brandenburg,FI1046,16:00,Departure
256,Icelandair,17:25,2021-07-24,2021-07-18,Kaupmannahöfn,FI216,16:10,Departure
257,Icelandair,16:07,2021-07-24,2021-07-18,London Heathrow,FI454,16:10,Departure
258,Icelandair,16:50,2021-07-24,2021-07-18,Minneapolis St Paul,FI657,16:45,Departure
259,Icelandair,16:48,2021-07-24,2021-07-18,Chicago,FI853,16:45,Departure
260,Icelandair,17:08,2021-07-24,2021-07-18,Washington Dulles,FI645,16:50,Departure
261,Icelandair,16:58,2021-07-24,2021-07-18,Denver,FI671,16:55,Departure
262,Icelandair,16:58,2021-07-24,2021-07-18,New York JFK,FI615,17:00,Departure
263,Icelandair,17:03,2021-07-24,2021-07-18,New York Newark,FI623,17:00,Departure
264,Icelandair,17:17,2021-07-24,2021-07-18,Seattle,FI681,17:05,Departure
265,Icelandair,17:34,2021-07-24,2021-07-18,Boston,FI631,17:15,Departure
266,Wizz Air,18:53,2021-07-24,2021-07-18,Riga,W62598,18:50,Departure
267,Lufthansa,00:39,2021-07-24,2021-07-17,Frankfurt,LH869,00:25,Departure
268,Icelandair,07:26,2021-07-24,2021-07-17,Genf,FI564,07:20,Departure
269,Icelandair,07:14,2021-07-24,2021-07-17,Munchen,FI532,07:20,Departure
270,Icelandair,07:27,2021-07-24,2021-07-17,Zurich,FI568,07:20,Departure
271,Icelandair,07:33,2021-07-24,2021-07-17,Frankfurt,FI520,07:25,Departure
272,Icelandair,07:50,2021-07-24,2021-07-17,Helsinki,FI342,07:30,Departure
273,Icelandair,08:01,2021-07-24,2021-07-17,Stokkhólmur,FI306,07:35,Departure
274,Icelandair,07:52,2021-07-24,2021-07-17,London Heathrow,FI450,07:40,Departure
275,Icelandair,07:39,2021-07-24,2021-07-17,París CDG,FI542,07:40,Departure
276,Icelandair,08:02,2021-07-24,2021-07-17,Berlin Brandenburg,FI528,07:40,Departure
277,Icelandair,07:43,2021-07-24,2021-07-17,Amsterdam,FI500,07:40,Departure
278,Icelandair,07:43,2021-07-24,2021-07-17,Brussel,FI554,07:40,Departure
279,Icelandair,08:12,2021-07-24,2021-07-17,París CDG,FI544,07:45,Departure
280,Icelandair,08:06,2021-07-24,2021-07-17,Kaupmannahöfn,FI204,07:45,Departure
281,Icelandair,Hlið opið,2021-07-24,2021-07-17,Amsterdam,FI506,07:50,Departure
282,Icelandair,08:20,2021-07-24,2021-07-17,Kaupmannahöfn,FI206,08:00,Departure
283,Neos,08:24,2021-07-24,2021-07-17,Verona,NO6956,08:20,Departure
284,Icelandair,08:49,2021-07-24,2021-07-17,Tenerife South,FI580,08:40,Departure
285,Icelandair,09:21,2021-07-24,2021-07-17,Boston,FI635,09:20,Departure
286,Delta,09:46,2021-07-24,2021-07-17,Minneapolis St Paul,DL261,09:30,Departure
287,Play,10:10,2021-07-24,2021-07-17,Alicante,OG600,10:00,Departure
288,Play,10:05,2021-07-24,2021-07-17,Tenerife South,OG620,10:05,Departure
289,British Airways,10:18,2021-07-24,2021-07-17,London Heathrow,BA801,10:10,Departure
290,Delta,10:18,2021-07-24,2021-07-17,Boston,DL267,10:15,Departure
291,United Airlines,10:26,2021-07-24,2021-07-17,Chicago,UA913,10:30,Departure
292,Delta,10:58,2021-07-24,2021-07-17,New York JFK,DL247,10:50,Departure
293,United Airlines,11:03,2021-07-24,2021-07-17,New York Newark,UA967,11:20,Departure
294,Lufthansa,13:23,2021-07-24,2021-07-17,Frankfurt,LH857,13:35,Departure
295,Icelandair,13:53,2021-07-24,2021-07-17,Madríd,FI594,14:00,Departure
296,Icelandair,16:39,2021-07-24,2021-07-17,Mílanó,FI592,14:00,Departure
297,Wizz Air,Aflýst,2021-07-24,2021-07-17,Dortmund,W64714,15:50,Departure
298,Icelandair,16:54,2021-07-24,2021-07-17,Kaupmannahöfn,FI216,16:25,Departure
299,Wizz Air,16:40,2021-07-24,2021-07-17,Búdapest,W62428,16:30,Departure
300,Edelweiss,16:50,2021-07-24,2021-07-17,Zurich,WK301,16:30,Departure
301,Wizz Air,17:14,2021-07-24,2021-07-17,Vín,W62858,16:40,Departure
302,Icelandair,16:48,2021-07-24,2021-07-17,Chicago,FI853,16:45,Departure
303,Icelandair,17:22,2021-07-24,2021-07-17,Minneapolis St Paul,FI657,16:45,Departure
304,Icelandair,17:22,2021-07-24,2021-07-17,Portland,FI665,16:50,Departure
305,Icelandair,17:17,2021-07-24,2021-07-17,Washington Dulles,FI645,16:50,Departure
306,Icelandair,17:27,2021-07-24,2021-07-17,Denver,FI671,16:55,Departure
307,Icelandair,17:57,2021-07-24,2021-07-17,New York Newark,FI623,17:00,Departure
308,Icelandair,17:36,2021-07-24,2021-07-17,New York JFK,FI615,17:00,Departure
309,Icelandair,17:45,2021-07-24,2021-07-17,Seattle,FI681,17:05,Departure
310,Vueling,17:20,2021-07-24,2021-07-17,Barcelona,VY8561,17:10,Departure
311,Icelandair,17:30,2021-07-24,2021-07-17,Boston,FI631,17:15,Departure
312,Icelandair,17:53,2021-07-24,2021-07-17,Seattle,FI683,17:50,Departure
313,Wizz Air,Aflýst,2021-07-24,2021-07-17,Mílanó,W65566,19:20,Departure
314,Transavia,20:05,2021-07-24,2021-07-17,Amsterdam,HV6888,19:50,Departure
315,Wizz Air,21:03,2021-07-24,2021-07-17,Gdansk,W61774,20:50,Departure
316,Wizz Air,00:24,2021-07-24,2021-07-16,Varsjá,W61540,00:10,Departure
317,Eurowings,00:46,2021-07-24,2021-07-16,Dusseldorf,EW9281,00:30,Departure
318,City Jet,02:04,2021-07-24,2021-07-16,Luxembourg,WX9385,01:30,Departure
319,Iberia Express,01:43,2021-07-24,2021-07-16,Madríd,I23661,01:35,Departure
320,Lufthansa,02:03,2021-07-24,2021-07-16,Munchen,LH2469,02:00,Departure
321,Play,05:50,2021-07-24,2021-07-16,Berlin Brandenburg,OG700,06:00,Departure
322,Icelandair,07:18,2021-07-24,2021-07-16,Zurich,FI568,07:20,Departure
323,Icelandair,07:21,2021-07-24,2021-07-16,Munchen,FI532,07:20,Departure
324,Icelandair,07:24,2021-07-24,2021-07-16,Frankfurt,FI520,07:25,Departure
325,Icelandair,07:37,2021-07-24,2021-07-16,Stokkhólmur,FI306,07:35,Departure
326,Icelandair,07:51,2021-07-24,2021-07-16,London Heathrow,FI450,07:40,Departure
327,Icelandair,07:43,2021-07-24,2021-07-16,Amsterdam,FI500,07:40,Departure
328,Icelandair,07:48,2021-07-24,2021-07-16,Berlin Brandenburg,FI528,07:40,Departure
329,Icelandair,07:38,2021-07-24,2021-07-16,París CDG,FI542,07:40,Departure
330,Icelandair,07:44,2021-07-24,2021-07-16,Kaupmannahöfn,FI204,07:45,Departure
331,Icelandair,07:42,2021-07-24,2021-07-16,Osló,FI318,07:50,Departure
332,Icelandair,08:01,2021-07-24,2021-07-16,Kaupmannahöfn,FI206,08:00,Departure
333,Neos,08:14,2021-07-24,2021-07-16,Malaga,NO5904,08:20,Departure
334,Delta,09:24,2021-07-24,2021-07-16,Minneapolis St Paul,DL261,09:30,Departure
335,Delta,10:26,2021-07-24,2021-07-16,Boston,DL267,10:15,Departure
336,United Airlines,10:25,2021-07-24,2021-07-16,Chicago,UA913,10:30,Departure
337,SAS,10:38,2021-07-24,2021-07-16,Kaupmannahöfn,SK596,10:30,Departure
338,Delta,10:50,2021-07-24,2021-07-16,New York JFK,DL247,10:50,Departure
339,United Airlines,11:15,2021-07-24,2021-07-16,New York Newark,UA967,11:20,Departure
340,SAS,11:15,2021-07-24,2021-07-16,Osló,SK4788,11:25,Departure
341,Atlantic Airways,11:44,2021-07-24,2021-07-16,Vagar,RC402,12:00,Departure
342,Air Baltic,15:17,2021-07-24,2021-07-16,Riga,BT170,15:10,Departure
343,Play,15:12,2021-07-24,2021-07-16,Barcelona,OG614,15:15,Departure
344,Play,15:06,2021-07-24,2021-07-16,París CDG,OG404,15:15,Departure
345,Icelandair,15:49,2021-07-24,2021-07-16,París CDG,FI540,16:00,Departure
346,Icelandair,16:39,2021-07-24,2021-07-16,Kaupmannahöfn,FI216,16:10,Departure
347,Icelandair,16:41,2021-07-24,2021-07-16,Billund,FI274,16:40,Departure
348,Icelandair,17:36,2021-07-24,2021-07-16,Minneapolis St Paul,FI657,16:45,Departure
349,Icelandair,18:06,2021-07-24,2021-07-16,Chicago,FI853,16:45,Departure
350,Icelandair,17:45,2021-07-24,2021-07-16,Washington Dulles,FI645,16:50,Departure
351,Icelandair,17:46,2021-07-24,2021-07-16,Denver,FI671,16:55,Departure
352,Icelandair,18:01,2021-07-24,2021-07-16,New York JFK,FI615,17:00,Departure
353,Icelandair,18:12,2021-07-24,2021-07-16,New York Newark,FI623,17:00,Departure
354,Icelandair,17:50,2021-07-24,2021-07-16,Seattle,FI681,17:05,Departure
355,Icelandair,17:56,2021-07-24,2021-07-16,Boston,FI631,17:15,Departure
356,Transavia,18:54,2021-07-24,2021-07-16,Amsterdam,HV6886,18:50,Departure
357,Wizz Air,20:13,2021-07-24,2021-07-16,Katowice,W61168,20:00,Departure
358,Wizz Air,Aflýst,2021-07-24,2021-07-16,Rome Fiumicino,W68266,20:20,Departure
359,Lufthansa,00:33,2021-07-24,2021-07-15,Frankfurt,LH869,00:25,Departure
360,Wizz Air,00:50,2021-07-24,2021-07-15,Varsjá,W61540,00:50,Departure
361,Czech Airlines,02:09,2021-07-24,2021-07-15,Prag,OK461,02:00,Departure
362,Play,05:57,2021-07-24,2021-07-15,París CDG,OG400,06:00,Departure
363,Icelandair,07:34,2021-07-24,2021-07-15,Munchen,FI532,07:20,Departure
364,Icelandair,07:43,2021-07-24,2021-07-15,Frankfurt,FI520,07:25,Departure
365,Icelandair,07:40,2021-07-24,2021-07-15,Stokkhólmur,FI306,07:35,Departure
366,Icelandair,08:14,2021-07-24,2021-07-15,London Heathrow,FI450,07:40,Departure
367,Icelandair,08:07,2021-07-24,2021-07-15,Berlin Brandenburg,FI528,07:40,Departure
368,Icelandair,07:55,2021-07-24,2021-07-15,París CDG,FI542,07:40,Departure
369,Icelandair,07:56,2021-07-24,2021-07-15,Amsterdam,FI500,07:40,Departure
370,Icelandair,07:43,2021-07-24,2021-07-15,Brussel,FI554,07:40,Departure
371,Icelandair,08:15,2021-07-24,2021-07-15,Kaupmannahöfn,FI204,07:45,Departure
372,Icelandair,07:58,2021-07-24,2021-07-15,París CDG,FI544,07:45,Departure
373,Icelandair,08:05,2021-07-24,2021-07-15,Osló,FI318,07:50,Departure
374,Icelandair,08:07,2021-07-24,2021-07-15,Kaupmannahöfn,FI206,08:00,Departure
375,Neos,08:20,2021-07-24,2021-07-15,Alicante,NO4902,08:20,Departure
376,EasyJet,09:04,2021-07-24,2021-07-15,London Luton,EZY2296,08:45,Departure
377,Icelandair,08:58,2021-07-24,2021-07-15,Alicante,FI1582,08:50,Departure
378,EasyJet,09:09,2021-07-24,2021-07-15,Manchester,EZY1806,09:00,Departure
379,Icelandair,09:27,2021-07-24,2021-07-15,Boston,FI635,09:20,Departure
380,Wizz Air,09:20,2021-07-24,2021-07-15,Vín,W62858,09:20,Departure
381,Delta,09:38,2021-07-24,2021-07-15,Minneapolis St Paul,DL261,09:30,Departure
382,Delta,10:10,2021-07-24,2021-07-15,Boston,DL267,10:15,Departure
383,United Airlines,10:29,2021-07-24,2021-07-15,Chicago,UA913,10:30,Departure
384,SAS,10:29,2021-07-24,2021-07-15,Kaupmannahöfn,SK596,10:30,Departure
385,British Airways,10:37,2021-07-24,2021-07-15,London Heathrow,BA801,10:40,Departure
386,Delta,10:49,2021-07-24,2021-07-15,New York JFK,DL247,10:50,Departure
387,United Airlines,11:06,2021-07-24,2021-07-15,New York Newark,UA967,11:20,Departure
388,SAS,11:16,2021-07-24,2021-07-15,Osló,SK4788,11:25,Departure
389,Lufthansa,13:26,2021-07-24,2021-07-15,Frankfurt,LH857,13:35,Departure
390,Eurowings,14:14,2021-07-24,2021-07-15,Hamborg,EW7809,14:20,Departure
391,EasyJet,14:59,2021-07-24,2021-07-15,Edinborg,EZY6942,15:05,Departure
392,Play,15:06,2021-07-24,2021-07-15,Berlin Brandenburg,OG704,15:15,Departure
393,Play,15:10,2021-07-24,2021-07-15,London Stansted,OG804,15:15,Departure
394,Icelandair,16:28,2021-07-24,2021-07-15,Kaupmannahöfn,FI216,16:10,Departure
395,Icelandair,16:38,2021-07-24,2021-07-15,Chicago,FI853,16:45,Departure
396,Icelandair,16:57,2021-07-24,2021-07-15,Minneapolis St Paul,FI657,16:45,Departure
397,Icelandair,17:14,2021-07-24,2021-07-15,Portland,FI665,16:50,Departure
398,Icelandair,17:27,2021-07-24,2021-07-15,Washington Dulles,FI645,16:50,Departure
399,Icelandair,17:14,2021-07-24,2021-07-15,Denver,FI671,16:55,Departure
400,Icelandair,17:18,2021-07-24,2021-07-15,New York Newark,FI623,17:00,Departure
