Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-24,2021-10-25,2021-10-26,AMS,94335
Icelandair,2021-10-24,2021-10-25,2021-10-27,AMS,73335
Icelandair,2021-10-24,2021-10-25,2021-10-28,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-10-29,AMS,47535
Icelandair,2021-10-24,2021-10-25,2021-10-30,AMS,47535
Icelandair,2021-10-24,2021-10-25,2021-10-31,AMS,78395
Icelandair,2021-10-24,2021-10-25,2021-11-01,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-02,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-11-03,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-11-04,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-11-05,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-11-06,AMS,45535
Icelandair,2021-10-24,2021-10-25,2021-11-07,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-08,AMS,42035
Icelandair,2021-10-24,2021-10-25,2021-11-09,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-10,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-11,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-12,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-13,AMS,43835
Icelandair,2021-10-24,2021-10-25,2021-11-14,AMS,42035
Icelandair,2021-10-24,2021-10-25,2021-11-15,AMS,42035
Icelandair,2021-10-24,2021-10-25,2021-11-16,AMS,43835
Icelandair,2021-10-24,2021-10-26,2021-10-27,AMS,101285
Icelandair,2021-10-24,2021-10-26,2021-10-28,AMS,101155
Icelandair,2021-10-24,2021-10-26,2021-10-29,AMS,79255
Icelandair,2021-10-24,2021-10-26,2021-10-30,AMS,79255
Icelandair,2021-10-24,2021-10-26,2021-10-31,AMS,102415
Icelandair,2021-10-24,2021-10-26,2021-11-01,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-02,AMS,77255
Icelandair,2021-10-24,2021-10-26,2021-11-03,AMS,77255
Icelandair,2021-10-24,2021-10-26,2021-11-04,AMS,77255
Icelandair,2021-10-24,2021-10-26,2021-11-05,AMS,77255
Icelandair,2021-10-24,2021-10-26,2021-11-06,AMS,77255
Icelandair,2021-10-24,2021-10-26,2021-11-07,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-08,AMS,73755
Icelandair,2021-10-24,2021-10-26,2021-11-09,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-10,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-11,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-12,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-13,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-14,AMS,73755
Icelandair,2021-10-24,2021-10-26,2021-11-15,AMS,73755
Icelandair,2021-10-24,2021-10-26,2021-11-16,AMS,75555
Icelandair,2021-10-24,2021-10-26,2021-11-17,AMS,75555
Icelandair,2021-10-24,2021-10-27,2021-10-28,AMS,67535
Icelandair,2021-10-24,2021-10-27,2021-10-29,AMS,73335
Icelandair,2021-10-24,2021-10-27,2021-10-30,AMS,45535
Icelandair,2021-10-24,2021-10-27,2021-10-31,AMS,76395
Icelandair,2021-10-24,2021-10-27,2021-11-01,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-02,AMS,43535
Icelandair,2021-10-24,2021-10-27,2021-11-03,AMS,43535
Icelandair,2021-10-24,2021-10-27,2021-11-04,AMS,43535
Icelandair,2021-10-24,2021-10-27,2021-11-05,AMS,43535
Icelandair,2021-10-24,2021-10-27,2021-11-06,AMS,43535
Icelandair,2021-10-24,2021-10-27,2021-11-07,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-08,AMS,40035
Icelandair,2021-10-24,2021-10-27,2021-11-09,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-10,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-11,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-12,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-13,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-14,AMS,40035
Icelandair,2021-10-24,2021-10-27,2021-11-15,AMS,40035
Icelandair,2021-10-24,2021-10-27,2021-11-16,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-17,AMS,41835
Icelandair,2021-10-24,2021-10-27,2021-11-18,AMS,41835
Icelandair,2021-10-24,2021-10-28,2021-10-29,AMS,69335
Icelandair,2021-10-24,2021-10-28,2021-10-30,AMS,69335
Icelandair,2021-10-24,2021-10-28,2021-10-31,AMS,78395
Icelandair,2021-10-24,2021-10-28,2021-11-01,AMS,43835
Icelandair,2021-10-24,2021-10-28,2021-11-02,AMS,45535
Icelandair,2021-10-24,2021-10-28,2021-11-03,AMS,45535
