Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-21,2021-10-22,2021-10-23,AMS,94345
Icelandair,2021-10-21,2021-10-22,2021-10-24,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-10-25,AMS,78545
Icelandair,2021-10-21,2021-10-22,2021-10-26,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-10-27,AMS,78545
Icelandair,2021-10-21,2021-10-22,2021-10-28,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-10-29,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-10-30,AMS,107705
Icelandair,2021-10-21,2021-10-22,2021-10-31,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-01,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-02,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-11-03,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-11-04,AMS,76545
Icelandair,2021-10-21,2021-10-22,2021-11-05,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-06,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-07,AMS,73045
Icelandair,2021-10-21,2021-10-22,2021-11-08,AMS,73045
Icelandair,2021-10-21,2021-10-22,2021-11-09,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-10,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-11,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-12,AMS,74845
Icelandair,2021-10-21,2021-10-22,2021-11-13,AMS,74845
Icelandair,2021-10-21,2021-10-23,2021-10-24,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-10-25,AMS,47545
Icelandair,2021-10-21,2021-10-23,2021-10-26,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-10-27,AMS,47545
Icelandair,2021-10-21,2021-10-23,2021-10-28,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-10-29,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-10-30,AMS,76705
Icelandair,2021-10-21,2021-10-23,2021-10-31,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-01,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-02,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-11-03,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-11-04,AMS,45545
Icelandair,2021-10-21,2021-10-23,2021-11-05,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-06,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-07,AMS,42045
Icelandair,2021-10-21,2021-10-23,2021-11-08,AMS,42045
Icelandair,2021-10-21,2021-10-23,2021-11-09,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-10,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-11,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-12,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-13,AMS,43845
Icelandair,2021-10-21,2021-10-23,2021-11-14,AMS,42045
Icelandair,2021-10-21,2021-10-24,2021-10-25,AMS,93795
Icelandair,2021-10-21,2021-10-24,2021-10-26,AMS,92965
Icelandair,2021-10-21,2021-10-24,2021-10-27,AMS,86965
Icelandair,2021-10-21,2021-10-24,2021-10-28,AMS,84965
Icelandair,2021-10-21,2021-10-24,2021-10-29,AMS,84965
Icelandair,2021-10-21,2021-10-24,2021-10-30,AMS,108425
Icelandair,2021-10-21,2021-10-24,2021-10-31,AMS,83265
Icelandair,2021-10-21,2021-10-24,2021-11-01,AMS,83265
Icelandair,2021-10-21,2021-10-24,2021-11-02,AMS,84965
Icelandair,2021-10-21,2021-10-24,2021-11-03,AMS,84965
Icelandair,2021-10-21,2021-10-24,2021-11-04,AMS,84965
Icelandair,2021-10-21,2021-10-24,2021-11-05,AMS,83265
Icelandair,2021-10-21,2021-10-24,2021-11-06,AMS,83265
Icelandair,2021-10-21,2021-10-24,2021-11-07,AMS,81465
Icelandair,2021-10-21,2021-10-24,2021-11-08,AMS,81465
