Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-18,2021-10-19,2021-10-20,AMS,73315
Icelandair,2021-10-18,2021-10-19,2021-10-21,AMS,79015
Icelandair,2021-10-18,2021-10-19,2021-10-22,AMS,45515
Icelandair,2021-10-18,2021-10-19,2021-10-23,AMS,45515
Icelandair,2021-10-18,2021-10-19,2021-10-24,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-25,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-26,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-27,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-28,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-29,AMS,43515
Icelandair,2021-10-18,2021-10-19,2021-10-30,AMS,74645
Icelandair,2021-10-18,2021-10-19,2021-10-31,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-01,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-02,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-03,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-04,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-05,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-06,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-07,AMS,40015
Icelandair,2021-10-18,2021-10-19,2021-11-08,AMS,40015
Icelandair,2021-10-18,2021-10-19,2021-11-09,AMS,41815
Icelandair,2021-10-18,2021-10-19,2021-11-10,AMS,41815
Icelandair,2021-10-18,2021-10-20,2021-10-21,AMS,73315
Icelandair,2021-10-18,2021-10-20,2021-10-22,AMS,73315
Icelandair,2021-10-18,2021-10-20,2021-10-23,AMS,45515
Icelandair,2021-10-18,2021-10-20,2021-10-24,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-25,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-26,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-27,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-28,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-29,AMS,43515
Icelandair,2021-10-18,2021-10-20,2021-10-30,AMS,74645
Icelandair,2021-10-18,2021-10-20,2021-10-31,AMS,41815
