Airline,C_Date,DateOut,DateBack,Destination,Price
Icelandair,2021-10-20,2021-10-21,2021-10-22,AMS,86025
Icelandair,2021-10-20,2021-10-21,2021-10-23,AMS,73325
Icelandair,2021-10-20,2021-10-21,2021-10-24,AMS,47525
Icelandair,2021-10-20,2021-10-21,2021-10-25,AMS,47525
Icelandair,2021-10-20,2021-10-21,2021-10-26,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-10-27,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-10-28,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-10-29,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-10-30,AMS,63325
Icelandair,2021-10-20,2021-10-21,2021-10-31,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-01,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-02,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-11-03,AMS,45525
Icelandair,2021-10-20,2021-10-21,2021-11-04,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-05,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-06,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-07,AMS,42025
Icelandair,2021-10-20,2021-10-21,2021-11-08,AMS,42025
Icelandair,2021-10-20,2021-10-21,2021-11-09,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-10,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-11,AMS,43825
Icelandair,2021-10-20,2021-10-21,2021-11-12,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-10-23,AMS,67525
Icelandair,2021-10-20,2021-10-22,2021-10-24,AMS,47525
Icelandair,2021-10-20,2021-10-22,2021-10-25,AMS,47525
Icelandair,2021-10-20,2021-10-22,2021-10-26,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-10-27,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-10-28,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-10-29,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-10-30,AMS,63325
Icelandair,2021-10-20,2021-10-22,2021-10-31,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-01,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-02,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-11-03,AMS,45525
Icelandair,2021-10-20,2021-10-22,2021-11-04,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-05,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-06,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-07,AMS,42025
Icelandair,2021-10-20,2021-10-22,2021-11-08,AMS,42025
Icelandair,2021-10-20,2021-10-22,2021-11-09,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-10,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-11,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-12,AMS,43825
Icelandair,2021-10-20,2021-10-22,2021-11-13,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-10-24,AMS,47525
Icelandair,2021-10-20,2021-10-23,2021-10-25,AMS,47525
Icelandair,2021-10-20,2021-10-23,2021-10-26,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-10-27,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-10-28,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-10-29,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-10-30,AMS,63325
Icelandair,2021-10-20,2021-10-23,2021-10-31,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-01,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-02,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-11-03,AMS,45525
Icelandair,2021-10-20,2021-10-23,2021-11-04,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-05,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-06,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-07,AMS,42025
Icelandair,2021-10-20,2021-10-23,2021-11-08,AMS,42025
Icelandair,2021-10-20,2021-10-23,2021-11-09,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-10,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-11,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-12,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-13,AMS,43825
Icelandair,2021-10-20,2021-10-23,2021-11-14,AMS,42025
Icelandair,2021-10-20,2021-10-24,2021-10-25,AMS,93775
Icelandair,2021-10-20,2021-10-24,2021-10-26,AMS,92925
Icelandair,2021-10-20,2021-10-24,2021-10-27,AMS,77025
Icelandair,2021-10-20,2021-10-24,2021-10-28,AMS,77025
Icelandair,2021-10-20,2021-10-24,2021-10-29,AMS,77025
Icelandair,2021-10-20,2021-10-24,2021-10-30,AMS,94825
Icelandair,2021-10-20,2021-10-24,2021-10-31,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-01,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-02,AMS,77025
Icelandair,2021-10-20,2021-10-24,2021-11-03,AMS,77025
Icelandair,2021-10-20,2021-10-24,2021-11-04,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-05,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-06,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-07,AMS,73525
Icelandair,2021-10-20,2021-10-24,2021-11-08,AMS,73525
Icelandair,2021-10-20,2021-10-24,2021-11-09,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-10,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-11,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-12,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-13,AMS,75325
Icelandair,2021-10-20,2021-10-24,2021-11-14,AMS,73525
Icelandair,2021-10-20,2021-10-24,2021-11-15,AMS,73525
Icelandair,2021-10-20,2021-10-25,2021-10-26,AMS,69325
Icelandair,2021-10-20,2021-10-25,2021-10-27,AMS,69325
Icelandair,2021-10-20,2021-10-25,2021-10-28,AMS,45525
Icelandair,2021-10-20,2021-10-25,2021-10-29,AMS,45525
Icelandair,2021-10-20,2021-10-25,2021-10-30,AMS,63325
Icelandair,2021-10-20,2021-10-25,2021-10-31,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-01,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-02,AMS,45525
Icelandair,2021-10-20,2021-10-25,2021-11-03,AMS,45525
Icelandair,2021-10-20,2021-10-25,2021-11-04,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-05,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-06,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-07,AMS,42025
Icelandair,2021-10-20,2021-10-25,2021-11-08,AMS,42025
Icelandair,2021-10-20,2021-10-25,2021-11-09,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-10,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-11,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-12,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-13,AMS,43825
Icelandair,2021-10-20,2021-10-25,2021-11-14,AMS,42025
Icelandair,2021-10-20,2021-10-25,2021-11-15,AMS,42025
Icelandair,2021-10-20,2021-10-25,2021-11-16,AMS,42025
Icelandair,2021-10-20,2021-10-26,2021-10-27,AMS,63525
Icelandair,2021-10-20,2021-10-26,2021-10-28,AMS,63525
Icelandair,2021-10-20,2021-10-26,2021-10-29,AMS,43525
Icelandair,2021-10-20,2021-10-26,2021-10-30,AMS,61325
Icelandair,2021-10-20,2021-10-26,2021-10-31,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-01,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-02,AMS,43525
Icelandair,2021-10-20,2021-10-26,2021-11-03,AMS,43525
Icelandair,2021-10-20,2021-10-26,2021-11-04,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-05,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-06,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-07,AMS,40025
Icelandair,2021-10-20,2021-10-26,2021-11-08,AMS,40025
Icelandair,2021-10-20,2021-10-26,2021-11-09,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-10,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-11,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-12,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-13,AMS,41825
Icelandair,2021-10-20,2021-10-26,2021-11-14,AMS,40025
Icelandair,2021-10-20,2021-10-26,2021-11-15,AMS,40025
Icelandair,2021-10-20,2021-10-26,2021-11-16,AMS,40025
