CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed,Scenario
2021-09-05,2021-09-06,Departure,00:05,Varsjá,W61540,Wizz Air,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,00:25,Frankfurt,LH869,Lufthansa,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,00:30,Dusseldorf,EW9281,Eurowings,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:20,Genf,FI564,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:30,Helsinki,FI342AY6816,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:35,Stokkhólmur,FI306SK6156 SU3615 AY6814,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:40,París CDG,FI542,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:40,Amsterdam,FI500SU3617,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:45,Kaupmannahöfn,FI204SK6150 SU4480,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:50,Osló,FI318AY6818 SU3611,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,07:50,Amsterdam,FI506SU4483,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,08:00,Kaupmannahöfn,FI206SU4481,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,09:10,London Luton,EZY2296,EasyJet,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,09:20,Boston,FI635B65635,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,09:30,Minneapolis St Paul,DL261,Delta,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,10:05,Boston,DL267,Delta,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,10:30,Kaupmannahöfn,SK596,SAS,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,10:30,Chicago,UA913,United Airlines,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:00,Skopje,OU9366,Croatia Airlines,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:00,Osló,SK4788,SAS,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:15,New York JFK,DL247,Delta,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:15,Manchester,LS4088,JET2.Com,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:20,New York Newark,UA967,United Airlines,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,11:40,Vagar,RC402KL9532 AF3886,Atlantic Airways,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,14:00,Mílanó,FI592,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,15:10,Riga,BT170,Air Baltic,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,15:15,Kaupmannahöfn,OG904,Play,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,15:15,Barcelona,OG614,Play,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:00,París CDG,FI540,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:10,London Heathrow,FI454,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:10,Kaupmannahöfn,FI216SU3618,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:40,Billund,FI274,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:50,Portland,FI665,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:50,Washington Dulles,FI645B65645,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,16:55,Denver,FI671,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,17:00,New York JFK,FI615,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,17:00,New York Newark,FI623,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,17:05,Seattle,FI681,Icelandair,Á áætlun,Plan
2021-09-05,2021-09-06,Departure,17:05,Toronto,FI603,Icelandair,Á áætlun,Plan
