Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type,Scenario,PunctualityMins,Punctuality
Lufthansa,Farin 00:35,2021-09-15,2021-07-24,Frankfurt,LH869,00:25,Departure,Plan,0,0
Icelandair,Farin 07:35,2021-09-15,2021-07-24,Genf,FI564,07:20,Departure,Plan,0,0
Icelandair,Farin 07:31,2021-09-15,2021-07-24,Zurich,FI568,07:20,Departure,Plan,0,0
Icelandair,Farin 07:33,2021-09-15,2021-07-24,Munchen,FI532,07:20,Departure,Plan,0,0
Icelandair,Farin 07:40,2021-09-15,2021-07-24,Frankfurt,FI520,07:25,Departure,Plan,0,0
Icelandair,Farin 07:50,2021-09-15,2021-07-24,Stokkhólmur,FI306,07:35,Departure,Plan,0,0
Icelandair,Farin 07:43,2021-09-15,2021-07-24,Amsterdam,FI500,07:40,Departure,Plan,0,0
Icelandair,Farin 08:02,2021-09-15,2021-07-24,Berlin Brandenburg,FI528,07:40,Departure,Plan,0,0
Icelandair,Farin 07:49,2021-09-15,2021-07-24,Brussel,FI554,07:40,Departure,Plan,0,0
Icelandair,Farin 07:50,2021-09-15,2021-07-24,París CDG,FI542,07:40,Departure,Plan,0,0
Icelandair,Farin 07:51,2021-09-15,2021-07-24,London Heathrow,FI450,07:40,Departure,Plan,0,0
Icelandair,Farin 07:54,2021-09-15,2021-07-24,París CDG,FI544,07:45,Departure,Plan,0,0
Icelandair,Farin 08:09,2021-09-15,2021-07-24,Kaupmannahöfn,FI204,07:45,Departure,Plan,0,0
Icelandair,Farin 07:53,2021-09-15,2021-07-24,Amsterdam,FI506SU4483,07:50,Departure,Plan,0,0
Icelandair,Farin 08:11,2021-09-15,2021-07-24,Kaupmannahöfn,FI206SU4481,08:00,Departure,Plan,0,0
Neos,Farin 08:18,2021-09-15,2021-07-24,Verona,NO6956,08:20,Departure,Plan,0,0
Icelandair,Farin 08:39,2021-09-15,2021-07-24,Tenerife South,FI580,08:40,Departure,Plan,0,0
Icelandair,Farin 09:35,2021-09-15,2021-07-24,Boston,FI635,09:20,Departure,Plan,0,0
Delta,Farin 09:28,2021-09-15,2021-07-24,Minneapolis St Paul,DL261,09:30,Departure,Plan,0,0
Play,Farin 10:00,2021-09-15,2021-07-24,Alicante,OG600,10:00,Departure,Plan,0,0
Play,Farin 10:10,2021-09-15,2021-07-24,Tenerife South,OG620,10:05,Departure,Plan,0,0
British Airways,Farin 10:04,2021-09-15,2021-07-24,London Heathrow,BA801,10:10,Departure,Plan,0,0
Delta,Farin 10:37,2021-09-15,2021-07-24,Boston,DL267,10:15,Departure,Plan,0,0
United Airlines,Farin 10:31,2021-09-15,2021-07-24,Chicago,UA913,10:30,Departure,Plan,0,0
Delta,Farin 10:47,2021-09-15,2021-07-24,New York JFK,DL247,10:50,Departure,Plan,0,0
